ORF,gene,alanine,aspartate,glutamate,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,asparagine,proline,glutamine,arginine,serine,threonine,valine,tryptophan,tyrosine
YBL017C,PEP1,0.73193563,0.998934328,0.638892963,0.828633183,0.998739915,0.679045417,0.992824214,0.907477607,0.992491524,0.206041972,0.016882202,0.99691757,0.588178005,0.991837768,0.265198465,0.178004069,0.802573184,0.998365774,0.967762919
YBL019W,APN2,0.970313613,0.998934328,0.997076032,0.223783807,0.881544863,0.67587503,0.926982938,0.872276432,0.931387717,0.987187302,0.229471744,0.577084513,0.135217124,0.960517415,0.241775055,0.413785854,0.780906486,0.540982769,0.947595541
YBL021C,HAP3,0.970313613,0.998934328,0.657985144,0.999250689,0.827269833,0.196148547,0.992824214,0.379508665,0.991101595,0.968925511,0.83546572,0.233715435,0.88978043,0.468786635,0.638898513,0.998375906,0.974333757,0.998365774,0.99477667
YBL022C,PIM1,1.03151E-41,0.764373942,0.291701154,0.999250689,0.740019669,0.405495871,0.992824214,0.896529262,0.991101595,0.951455649,0.912378674,0.679704459,0.129503638,0.527082474,0.000558531,0.998375906,0.003842661,0.998365774,0.58268784
YBL024W,NCL1,1.21248E-08,0.893790357,0.603401087,0.753929707,0.998739915,0.990743833,0.071028833,0.970950364,0.991101595,0.627440472,0.102779265,0.111211235,0.021011828,0.707281576,0.327313272,0.258157706,0.028987645,0.998365774,0.666786528
YBL027W,RPL19B,0.951758769,0.998934328,0.997076032,0.947165258,0.998739915,0.945256094,0.935150155,0.785833626,0.961163509,0.911542191,0.762632081,0.93337702,0.93495739,0.975283606,0.960842569,0.998375906,0.605396269,0.998365774,0.992897227
YBL028C,,0.970313613,0.998934328,0.80776976,0.975807043,0.76249746,0.657596951,0.992824214,0.517869902,0.991101595,0.699228596,0.998093627,0.830819878,0.992665963,0.879610583,0.801428145,0.998375906,0.398538155,0.998365774,0.992897227
YBL029C-A,,0.292308222,0.998934328,0.951585033,0.999250689,0.998739915,0.985685546,0.993843906,0.998017381,0.943804064,0.98970901,0.998093627,0.303290895,0.992665963,0.995384579,0.960842569,0.998375906,0.974333757,0.986146214,0.97472543
YBL029W,,0.791928303,0.998934328,0.997076032,0.999250689,0.998739915,0.973605545,0.84008365,0.962488253,0.991101595,0.862243481,0.947655247,0.761773965,0.992665963,0.993925784,0.880948724,0.776984508,0.988959847,0.880653303,0.705262546
YBL031W,SHE1,0.970313613,0.641933752,0.918782585,0.252911974,0.998739915,0.995413345,0.53286178,0.857692398,0.410660316,0.774640518,0.963987021,0.506957706,0.992665963,0.934836475,0.408965566,0.998375906,0.974333757,0.068290344,0.992897227
YBL032W,HEK2,0.920398669,0.992015815,0.917637464,0.999250689,0.854537289,0.990743833,0.992824214,0.965679283,0.991101595,0.856105909,0.998093627,0.840802902,0.992665963,0.934836475,0.36105021,0.277375966,0.976245537,0.998365774,0.844318522
YBL033C,RIB1,0.936629966,0.975668042,0.997076032,0.968223516,0.998739915,0.095724104,0.404375438,0.934580227,0.991101595,0.107584178,0.998093627,0.98285319,0.771994198,0.65616876,0.551270608,0.241480979,0.927301341,0.998365774,0.063197837
YBL036C,,0.970313613,0.998934328,0.997076032,0.993230094,0.998739915,0.990743833,0.992824214,0.963780584,0.991101595,0.985792674,0.998093627,0.98285319,0.992665963,0.99668303,0.99176027,0.988956763,0.974333757,0.998365774,0.992897227
YBL037W,APL3,0.970313613,0.998934328,0.997354566,0.108423781,0.998739915,0.973605545,0.086390925,0.998017381,0.243717244,0.985792674,0.868010237,0.936329859,0.992665963,0.99668303,0.796424817,0.870047903,0.927301341,0.116899453,0.179279445
YBL038W,MRPL16,0.000742598,0.009760903,0.795263946,0.193672194,0.998739915,0.252165057,0.704451055,0.787195711,0.032819039,0.985792674,0.020358502,0.359528916,0.99485348,0.780940068,0.993739109,1.85847E-05,0.583168496,0.146334716,0.595289974
YBL039C,URA7,0.935917676,0.524031025,0.678792587,0.999250689,0.998739915,0.938604876,0.993843906,0.920185898,0.991101595,0.545151557,0.934586734,0.670681302,0.992665963,0.981591903,0.960842569,0.998375906,0.249946934,0.998365774,0.91626664
YBL039W-B,,0.980227643,0.776080285,0.997076032,0.974697467,0.998739915,0.995324191,0.992824214,0.995744387,0.991101595,0.541296495,0.998093627,0.983592513,0.992665963,0.99668303,0.831069045,0.935112026,0.979942557,0.998365774,0.83131398
YBL042C,FUI1,9.14683E-05,0.043379933,0.997076032,0.762774793,6.4374E-07,0.957704853,8.00851E-18,0.998017381,0.991101595,2.44132E-06,0.888169215,8.40956E-10,0.402627886,0.773290326,0.960842569,0.007840731,7.93873E-15,0.382759749,0.086054607
