Gene,P0.05,P0.11,P0.16,p0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
YDL160C,-0.142563017,0.04923776,-0.010326869,0.234284839,0.391577825,0.450022512,0.516412993,0.623996351,0.424075833,0.609247615,0.532277143,0.676250696,0.072588471,0.418811943,0.451921643,0.286172351,0.291622693,0.400837897,0.688390435,0.767223497,0.158381519,0.123252474,-0.025387705,0.292294831,0.403775512
YDL168W,-0.079129113,-0.186998734,-0.290483778,-0.543312053,-0.421194803,0.393030967,-0.127633989,-0.105729491,-1.020348473,-0.670833082,0.277141886,-0.219698863,-0.246417216,-0.497974333,-0.33248831,-0.032990731,-0.232335592,-0.273699352,-0.411459105,-0.560887736,0.197057022,-0.486180588,-0.011456361,-0.791282818,-0.643945519
YDL171C,0.087738342,0.163806538,0.180472095,0.113362389,0.06581271,-0.766338038,-0.482234372,-1.06533221,-1.071609641,-0.496110019,0.368707566,0.347507678,0.648469131,0.769368919,0.659755687,-1.044477641,-0.515064883,-0.939212328,-0.850075514,-0.273070318,-1.174901613,0.038874102,-0.043696378,0.091158638,0.294850282
YDL174C,-0.059571665,-1.74482038,-0.169875079,0.18598067,0.583781902,-1.09962865,-1.319774961,-1.774446436,-1.172026882,-1.056064036,-0.674391011,-0.943135308,-0.401224369,-0.350080883,0.114336305,0.863481129,1.294702765,0.50558125,-0.343068694,-0.063140892,-0.576992163,0.094909019,0.021363862,-0.334358146,-0.055888914
YDL178W,0.415163281,0.895463964,0.078656136,0.23366072,0.192887065,-0.115621009,-0.066771595,0.080096029,-0.002313324,-0.319843058,0.055772228,-0.028632791,-0.187547941,-0.241424062,-0.131101285,1.002928666,0.352135173,0.131385765,0.25707457,0.211260164,0.191695788,0.195462001,0.206841107,0.116843385,0.197652032
YDL181W,0.203988992,0.114680084,-0.20802863,-0.607463059,-1.403670272,1.233467004,1.039007452,1.05362598,1.094015181,0.86347584,-0.149102186,-0.157821813,-0.101135114,-0.659423533,-1.369543895,-1.402974427,-1.917696267,-0.758172355,-2.6901664,-2.228341656,0.027740067,-1.441542701,-1.338063603,-1.758422931,-1.101801513
YDL182W,-0.425639828,0.219847909,0.361813496,0.780761086,0.771143211,-0.821341188,-0.722292771,-0.209807694,-0.083210496,0.348930196,-0.70725815,-1.070923648,-0.835756516,-0.567833882,-0.006930388,1.221749705,1.201584061,1.343328728,1.055906604,0.953286566,0.214156121,1.351367145,1.054913625,1.104551048,0.656046254
YDL185W,0.044286781,0.248093153,0.227816277,0.086929657,-0.140563544,-0.681064733,-0.641366825,-0.619202601,-0.440104678,-0.335336352,-0.170748488,0.274463173,0.371226124,0.165149622,0.097747513,-0.440923052,-0.170091117,-0.039456229,-0.068780221,-0.113937518,0.147200762,0.043437333,0.017406813,-0.002274796,0.065820992
YDL192W,0.158911042,0.242129213,0.27686528,0.206970685,-0.367533929,-0.026695009,0.164994613,0.121832064,-0.039236337,-0.055791115,0.28182561,0.297127785,-0.160472641,-0.114304097,0.224272556,-0.036937511,0.059577829,-0.31929027,-0.107428738,-0.262554521,0.228283537,0.005217432,0.014083195,0.16571305,-0.085083442
YDL195W,0.005796847,-0.0270724,0.028643238,0.087975077,0.063383068,0.228959291,0.049364527,0.278413835,0.215938014,0.487492099,0.420003296,-0.046829425,-0.078587352,0.390918813,0.131239424,-0.069027631,0.024997775,-0.194632593,0.106207839,0.273339982,0.25388337,0.348644001,0.350642052,0.261938781,0.201745563
YDL198C,-0.060697866,0.753220126,0.608040194,1.205991429,1.721865861,0.694138818,1.0672621,1.143171253,1.258635313,1.459070436,1.248172451,1.831642528,1.637629326,1.49951115,1.842557189,3.454766733,2.625671046,2.936038559,2.320256023,1.019258579,-0.333264051,1.354898653,2.17905185,1.705913465,1.164324912
YDL204W,-0.174129604,-1.473185301,-1.771143615,-1.67579544,-1.730336664,1.427988081,0.353714334,-0.476978035,-1.175531069,-1.56576996,1.443470252,-0.724556551,-0.630874437,-1.146108524,-0.930587651,-1.696461265,-1.688880034,-1.712358406,-1.671440878,-2.194521385,-0.314212938,-0.798013061,-1.73587873,-1.712315986,-1.209992496
YDL208W,-2.619765317,-2.507337155,-2.976077772,-3.120778322,-0.165620453,-0.009823166,0.082547601,0.049439913,0.083218859,0.079989997,0.008606567,-0.024038111,-0.006392448,0.348293403,0.236106301,-0.669840424,0.172483123,0.245254014,0.364542873,0.432361351,-1.365795811,0.228816118,0.057672653,-0.107473609,0.203255278
YDL215C,-0.213818911,-1.003290615,-1.654278206,-0.64903264,-1.370124521,1.15649665,1.289671735,0.958690209,-0.028275924,-0.637415334,-0.463103972,0.189802757,-0.411104962,0.134944816,0.552414324,-0.079902506,-0.687998623,-1.230099801,-1.275501861,-2.369663365,-1.20109416,-0.415810234,-0.985254197,-1.19414501,-0.370042708
YDL218W,-0.597404782,-1.337625091,-1.860197036,-1.933110743,-2.115214273,1.842114961,-3.108390941,-2.644751664,-2.145757021,-1.958390928,1.513523941,-3.241073439,-1.967380085,-2.130820419,-1.617922832,-1.991486381,-2.465278566,-2.155040061,-2.32579495,-2.894501013,0.056859968,-0.597263365,-1.888054064,-1.730385356,-1.827215491
YDL223C,-0.211859841,-1.649652357,-1.044330387,-2.228736451,-1.082490439,0.535512504,-0.807892487,-1.105261666,-1.873929052,-0.806195653,0.884518749,-1.248223459,-1.781732268,-1.225229879,-2.258186727,-1.002579085,-2.475966395,-0.660029494,-1.156957808,-1.916721476,-0.625547814,-0.934694448,-1.552824645,-0.45163578,-1.347360414
YDL226C,0.106063095,-0.140667319,0.194943162,-0.357085606,-0.59970316,-0.097158371,0.32534514,-2.236433655,-4.387340484,-2.029406802,-1.1435404,0.267101027,0.507017613,-0.012720944,-0.579081255,0.091748639,0.385983514,1.326422398,0.244102273,0.47225408,-0.652221719,-1.185880104,0.389530132,-1.270660919,-0.420227925
YDL229W,-0.120974507,0.074601979,0.444268671,0.261968059,0.471012297,-0.662059046,-0.054799895,0.006648223,0.092264219,0.411493746,-0.73270492,-0.69537925,-0.153981519,0.336153616,0.345116164,0.008682343,0.382468107,0.37511595,0.514378168,0.825642972,-0.02652894,-0.103502267,0.534571237,0.386814246,0.313188113
YDL236W,0.235885914,0.066484778,-0.018246801,-0.072339583,-0.123643599,-1.187469947,-0.749831899,-0.633065988,-0.552069868,-0.323691295,-0.403877728,0.177343274,0.189274993,-0.244705233,-0.175612311,-0.501698931,-0.509467061,0.207104723,-0.52020035,-0.562902718,-0.464189631,-0.705223805,-0.493601353,-0.446838237,-0.251742369
YDL237W,-0.22204082,-1.635912214,-1.148560838,-1.122050607,-0.942709138,-0.962240489,1.678784893,-0.316402366,0.405174097,-0.666389312,-0.000821034,-1.926114174,-0.50318954,-0.235228566,-1.687335213,-1.756081652,0.099836152,-2.000430726,-1.162428632,-0.197370064,-4.484884914,-0.44713292,-3.261340098,-1.127784981,-0.91561439
YDR001C,-0.329396153,-0.986462372,-0.434642648,-0.64683548,-1.143192218,0.032184238,-0.00520036,-0.414244166,-0.293788992,-0.080805133,0.980091565,0.329753533,1.593731346,-0.095155464,0.693944574,-0.321566305,-1.087701582,-1.038858176,-0.951950559,-1.164989039,1.283462195,0.547366207,0.357511771,0.445014329,0.329777846
YDR002W,0.140768555,2.731162826,-0.339492545,1.13366813,1.131833878,0.345468141,1.425018687,0.341892584,0.900864512,1.34625368,1.034583629,2.991298267,1.938423216,0.454734554,2.129803303,0.214779803,0.866610347,0.943667373,0.814686191,0.404059591,1.495542366,1.305340552,1.717498123,1.667960607,1.807778549
YDR012W,-0.020028149,0.441148875,0.698342043,1.148632516,1.38869576,0.807217366,1.010010827,1.138162897,1.127992334,1.29651625,0.85171145,0.73532689,0.894554558,1.263447607,1.342850222,1.239540149,1.416053317,1.52516707,1.582580441,1.65553003,0.221306338,0.719259102,0.978150714,1.195400678,1.255292299
YDR019C,-0.135886115,-0.027067177,0.129169039,0.282172692,0.471249523,0.01382394,-0.454920047,-0.135527726,-0.088451449,-0.03511616,-0.200095249,0.283008616,0.45003757,0.74491436,0.829325242,0.730469003,0.476399421,0.848617327,0.674226552,0.673642167,-0.842147104,-0.285680802,0.035342119,0.146986287,0.347356402
YDR023W,-0.012532326,0.253406305,0.2202707,0.310678954,0.220065301,-0.04315469,0.004485694,0.038691318,0.099057556,0.152884938,-0.146032816,0.006797528,0.24464757,0.230106638,0.21971531,0.317572354,0.379018629,0.397706728,0.38914256,0.481151477,-0.232424912,0.008260346,0.322675064,0.201608023,0.228439265
YDR032C,-0.130179319,-0.393711057,-0.54213077,-0.990743364,-1.068334923,0.583820451,0.257520525,0.030958912,-0.240549268,-0.603860875,0.063356639,-0.217575122,-0.3844696,-0.80573436,-0.887329565,-0.977103851,-1.083971561,-1.170450036,-1.067664276,-1.276793989,-0.112613091,-0.565387401,-0.820224293,-1.166195277,-0.969146838
YDR033W,0.221524353,0.026689867,0.078881342,-0.50810767,-1.436766673,-2.050765409,-2.920876659,-2.61280212,-1.130947106,-2.014083535,-0.511031108,-2.185498539,-3.481452254,-3.327493371,-2.706962645,-1.397995207,-2.367416227,-2.061987323,-2.033717189,-0.801816128,0.338241032,-0.210161779,-0.937369444,-0.991874794,0.384392486
YDR035W,-0.07594396,-0.163007097,-0.185034402,0.080190647,-0.438802203,-0.252781828,-0.257633807,-0.417942178,-0.610758007,-0.727451677,-0.403992686,-0.327479504,-0.325851872,-0.825061201,-0.541516994,1.683326985,1.119495371,0.853372199,0.274609283,-0.338293374,-0.278075363,0.180352318,0.608615935,-0.253271297,-0.735378796
YDR037W,0.099572997,0.039429323,0.247831637,0.534425219,0.518075863,-0.765260211,-0.338715162,-0.473544871,-0.328356502,0.083691555,-0.212412556,-0.013585209,0.064612603,0.182846703,0.347432361,1.22245648,0.79770557,0.88327852,0.611276612,0.440414103,-0.100977931,0.626394187,1.063528921,0.621554037,0.535041896
YDR040C,2.808660367,-1.393536911,-1.680838267,-1.708155256,-0.443625749,0.531795457,-0.968608223,-1.118128853,0.620472747,0.266445538,0.590466081,0.466372277,0.385321186,-0.160037977,1.016732007,-0.696110674,0.086883111,-0.527760645,0.185478791,-0.02864634,-0.171044641,-0.37730563,-0.319419256,-0.151089409,0.251292273
YDR050C,0.045202808,-0.253596086,-0.341150466,-0.466093816,-0.614723541,-1.441758233,-1.631724132,-1.713956893,-1.563147689,-1.703533223,-1.276273931,-1.32518013,-1.280828806,-1.21091028,-0.871452875,-1.10557936,-0.863071605,-0.829944573,-0.728305314,-0.904476153,-0.161786272,-0.725972687,-0.73089,-0.809196517,-0.664840884
YDR062W,-0.18331055,0.44902288,0.625869014,0.768438281,4.148690356,-0.094484887,0.155073288,0.819332822,0.673582041,1.596696015,0.084046082,1.613534011,0.764292663,1.050340864,0.832726373,0.029482154,-0.072986134,0.185962438,0.127394589,0.7281453,0.383519876,0.394522066,-0.532731134,-0.048748137,0.184792193
YDR064W,0.077984006,0.672956934,0.930474475,1.387991342,1.708110682,1.123829408,1.126640457,1.198343874,1.318814124,1.603554822,1.171446997,1.035742174,1.048029006,1.51771253,1.500823789,1.464261973,1.319560566,1.503324755,1.504552989,1.743643569,0.222949371,0.823556956,1.15373723,1.315401985,1.450221286
YDR070C,0.25742071,-0.981314711,-0.288083428,-1.880635088,-3.907221291,1.327241076,0.72893667,0.083283841,-1.618380013,-1.789885118,1.463474963,0.954632564,0.309952412,-0.69057758,2.732274339,-0.392113285,-1.432843611,-1.62436733,1.297036791,-0.758627879,0.928444986,-0.512456161,0.218015041,1.514181892,0.931601039
YDR071C,0.016484879,-0.199479546,-0.206192142,-0.258572334,-0.250978812,-0.201067609,-0.212199957,-0.227540516,-0.078596144,-0.434084118,-0.397493208,-0.071841856,-0.194316735,-0.217065465,-0.435741386,-0.190355124,-0.429466985,-0.297680185,-0.247440679,-0.296292299,-0.62030864,-0.441832549,-0.463946247,-0.320717989,-0.399088534
YDR074W,-0.157747185,-0.601275389,-1.050874953,-1.18504819,-1.750102914,0.407042549,0.324406419,-0.3851162,-0.437886942,-0.783442134,0.818261709,-0.135896787,-0.399209274,-0.938696294,-1.49821932,-1.105834412,-1.414979821,-1.595926448,-1.541673485,-1.342003207,0.56656431,0.231623887,-0.915461438,-1.272261072,-0.859380931
YDR091C,0.000888732,0.069185599,0.206405587,0.191625283,0.261237812,-0.147349046,0.045541658,-0.117449827,-0.088237218,0.049433012,0.287825958,0.385444517,0.306187986,0.180524103,0.19643225,0.276161479,0.223810637,0.117022504,0.242112613,0.406591114,-0.367290895,-0.270043051,0.219836831,0.081365468,0.11558658
YDR092W,-2.072033102,-2.339694702,-2.363504138,-1.022658462,-2.543455951,-1.408424849,-4.037023031,-3.882380696,-2.799456851,-2.78784018,-3.093892466,-2.308249004,-2.861395768,-3.605965184,-2.933296972,-3.472357633,0.953263121,-3.281664098,-1.589338672,-4.302648656,-2.735768411,-2.504688845,1.547962664,-2.888945251,-2.201196154
YDR099W,0.05651109,-0.093662901,-0.269823854,-0.325274126,-0.363763227,0.090359635,-0.132812984,-0.292690927,-0.239838396,-0.357400051,0.250660517,0.275047117,0.195507039,-0.176114659,-0.280152173,-0.062318268,-0.245183491,-0.249456257,-0.41536878,-0.41560948,-0.222317303,-0.337439222,-0.745302789,-0.438655241,-0.359827835
YDR101C,-1.480353183,0.172686787,0.235266898,-0.017649448,0.031645609,0.13866668,0.900788348,1.227842917,1.327204937,0.959278524,-0.005706819,0.36989779,0.384152507,0.220066389,0.334309718,-0.002239809,-0.115859839,-0.045562197,0.141555442,0.220968308,0.248553136,-0.120769286,0.059263354,0.259239348,0.073176516
YDR120C,1.410673726,0.555826984,0.774455212,0.478976321,0.597933627,-2.311741752,-0.902194163,-0.058505249,-1.700942542,-0.643682239,-0.152942146,-0.517163001,0.319135373,-0.411864123,-0.46584731,-0.994574438,-3.032997296,-0.793840443,-2.761425245,-0.074915729,-4.117455052,-6.289643813,-6.138600333,-0.083757332,-1.410153404
YDR127W,-0.098032368,-0.031226663,-0.005737214,0.107328368,0.301593809,-0.142552101,-0.088409172,0.061824303,0.072076008,0.043630068,-0.905672966,-0.523829848,-0.411217886,-0.00825703,0.225208543,1.063042569,0.882193073,0.84548132,0.656254165,0.293490122,-0.368859418,0.516731802,0.456569877,0.259682203,0.128129181
YDR129C,-0.142668512,0.078964961,0.2009237,0.278404632,-0.012126486,0.580195346,0.600276976,0.674756627,0.807170169,0.70032132,0.688780238,0.765154397,0.705260678,0.305600574,0.333413602,-0.087105977,0.17738674,-0.072676967,0.11267132,0.262478396,0.513754857,0.499448603,0.420327324,0.26601384,0.670233066
YDR135C,-0.082759076,-0.13332654,-0.212431243,-0.140943835,-0.196588831,-0.920407831,-0.67265156,-0.878524401,-0.940930944,-0.525077693,-0.223625443,-0.454793617,0.056706514,0.090001291,0.078791959,0.086568977,-0.101299633,-0.004963596,-0.472192731,-0.252818841,0.245563332,0.713243101,-0.527433118,-0.137029462,0.172117806
YDR148C,-0.284839377,-0.323763562,-0.481633604,-0.929306514,-1.108270129,0.39960245,0.355045174,0.655190514,0.943648937,0.143806445,-0.339419185,-0.517632281,-0.604290087,-1.287553331,-1.227906189,-1.143997742,-1.447479849,-1.619899881,-1.662700024,-1.707459412,-0.672191966,-1.124963253,-1.140712914,-1.347465365,-1.347801275
YDR155C,-0.054300998,-0.288283099,-0.412659458,-0.476283391,-0.822631221,-0.254832798,-0.847505536,-0.895317703,-0.776705438,-0.94923928,0.181208506,-0.651467203,-0.740932437,-0.959614122,-1.009061555,-0.748392358,-1.102639892,-1.102343507,-1.066018821,-1.186091077,-0.216321664,-0.90183514,-1.124905172,-1.138622232,-0.757034709
YDR158W,-0.055407191,-0.010126448,0.138861736,0.359499732,0.349264506,0.023709392,0.179213341,0.119346154,0.182548547,0.118790955,-0.564967874,-0.362772356,-0.356304169,-0.137358326,0.025594193,1.941372631,1.48828601,1.473101239,1.01309463,0.200239105,-0.452160351,0.258268785,0.601214192,0.072723189,-0.149215713
YDR168W,-0.198551357,-0.262510732,-0.249695619,-0.369832019,-0.446462927,-0.277294756,-0.352598824,-0.1758301,-0.4209952,-0.56810599,-0.150160801,-0.291856441,-0.258318508,-0.616481481,-0.257466793,-0.425799798,-0.23935859,-0.627690508,-0.523845479,-0.390215271,-0.350435131,-0.214257522,-0.2794272,-0.252456797,-0.08470049
YDR170C,0.018916744,0.371094123,0.475409802,0.511297972,0.737478701,0.080422512,0.01115869,0.216610257,0.354178819,0.691096097,0.482843548,0.828615234,0.942629459,0.585003742,0.59345464,0.11219505,0.827056616,0.416715963,0.576626845,0.875956832,-0.126111766,0.41917168,0.392621079,0.30164503,0.408350077
YDR171W,-0.138874324,-0.657262542,-1.410596284,-1.703866797,-2.53433517,-0.358584552,-1.084748225,-1.624941012,-1.973223068,-2.903279519,0.374641601,-0.984222523,-1.130916532,-1.892576861,-1.847230703,-0.981602901,-1.84077457,-2.47413036,-2.171541758,-2.581705912,0.844464706,-0.480486323,-1.782135479,-1.702141134,-2.495345153
YDR172W,-0.144575539,0.146712228,0.203194417,0.193361243,-0.007805704,0.110598641,0.361491056,0.221797856,0.220194679,0.105939589,0.141403233,0.23049432,0.262487451,0.113994083,0.2272924,0.001805684,0.081907551,0.213512825,0.16382754,0.486604387,0.45246639,0.43371067,0.814608915,0.559509439,0.375565156
YDR174W,0.028483956,0.171006927,0.284316823,0.340593674,0.413532253,0.581133026,0.493210132,0.391333245,0.344135903,0.308096,0.676765929,0.833675723,0.586751488,0.155060342,0.09886876,0.51026407,0.10375334,0.188339038,0.065520325,-0.061409155,-0.589306171,-0.235142347,0.403547566,0.144603509,0.020202977
YDR177W,-0.043337252,-0.118856172,-0.092954189,-0.241342217,-0.172408728,0.302618916,0.353231128,0.075503506,0.14437648,0.017112896,0.143428742,0.463112938,0.156712465,0.112677405,0.021804716,0.029280652,-0.631467084,-0.285271073,-0.203513854,-0.272009254,0.006833239,-0.289654266,-0.534619251,-0.319431537,-0.085523604
YDR178W,-1.500428696,-0.24588776,0.003979925,-1.772600459,-1.771929029,1.575377683,1.604946649,1.976493159,2.103874027,1.622059713,-0.654825184,-0.621530555,-0.564747785,-1.82194524,-2.215765464,-2.427735811,-2.242648222,-2.010511918,-3.406876195,-3.361855896,-0.673926792,-1.139300491,-1.796946273,-2.425553356,-3.403907899
YDR188W,-0.22459998,-0.209595665,-0.159473952,-0.260169104,-0.476257646,0.293709999,0.237809277,0.164014073,0.252026312,0.177861647,-0.235181272,-0.192496177,-0.076241015,-0.209189211,-0.207297251,-0.361506347,-0.184062695,-0.336444507,-0.456509701,-0.199062634,-0.381324179,-0.359849485,-0.24563058,-0.244842587,-0.36361184
YDR190C,-0.866564385,-2.024780418,-2.168035295,-1.42528788,-1.713061042,-0.160675921,-0.518798854,-0.946180014,-0.633675803,-0.673988762,-0.872031369,-1.324510386,-1.492115325,-1.11898911,-1.829185333,-1.390848432,-1.501045716,-1.759793169,-1.599648589,-1.628167721,-1.102786181,-1.493509669,-1.295152018,-1.095153621,-1.907137242
YDR194C,-0.037708174,-0.132104638,-0.952765667,-0.556231304,-0.227198108,-1.193747419,0.146658412,-2.043153543,-1.086310361,1.069571286,-1.857624858,-1.98445553,-0.271397978,-1.286661092,0.205569723,-0.204035403,-1.197945078,-0.41089273,-0.364530305,0.055870705,-0.868771871,-1.044050474,0.027413383,-0.503719257,-0.078492493
YDR212W,0.100764672,0.043007859,0.098458176,0.187331954,0.285734428,0.112202214,-0.122718083,0.122776918,0.11063207,0.294716387,0.006527902,-0.128197533,0.000727308,0.268636103,0.17101395,-0.022941196,0.136976035,0.050115362,0.07257322,0.442787115,-0.439698693,-0.353239836,-0.012977328,-0.085052501,-0.053063113
YDR214W,-0.099868857,-0.313605346,-0.412325878,-0.49537797,-0.3832601,0.354673217,-0.346869176,-0.260616102,-0.539096841,-0.387650299,0.219053547,-0.347461395,-0.115611766,-0.258488822,-0.209814836,0.252633792,-0.218405152,-0.319321496,-0.140436177,-0.345997972,0.511055438,-0.071632353,-0.683853406,-0.602774038,-0.301778029
YDR225W,0.127577264,0.430562003,0.647494557,0.92698227,0.867014227,1.647105517,1.609377435,1.421308916,1.244846808,1.13075188,1.80682682,2.273020841,2.118042129,1.008092926,1.103437947,0.455730635,0.604889489,0.619742991,0.804086959,0.732232796,-0.447503501,0.421779731,0.504247423,0.517425624,0.618241799
YDR226W,0.086535036,-0.106392987,-0.204908741,-0.138879584,-0.07922352,-0.220622886,-0.456058087,-0.360242592,-0.162190992,-0.329913953,-0.114610515,-0.335665776,-0.441844591,-0.344360726,-0.356993494,-0.090699882,-0.402266162,-0.183897745,-0.195022749,-0.261366356,-0.104817702,-0.289828861,-0.191620332,-0.29446275,-0.186425797
YDR232W,0.033212325,0.096046132,0.301912869,-0.001437093,-0.053526927,-0.574319557,-0.136590464,0.195622717,0.322037978,-0.012419122,-1.594543935,-1.228456227,-0.538736675,-0.675090188,-0.366581722,0.275844775,0.364207154,0.071937798,-0.069598562,-0.134861931,-0.987704769,-0.386348024,-0.59987716,-0.375905068,-0.476163979
YDR233C,-0.029217564,-0.079032042,-0.07378338,0.113054556,0.272071619,0.59071884,0.491190875,0.240863962,0.169677925,0.069212747,0.980611247,0.829361695,0.77234935,0.255206228,0.280229771,0.419559812,0.349763847,0.241981719,0.162411366,0.273334448,-0.239468246,-0.010747595,-0.09215288,-0.118338877,0.112354733
YDR234W,0.022246904,0.141894452,0.38416198,0.394291867,0.493834986,0.182152303,0.638559772,0.51884129,0.198174988,0.419278495,0.034787089,0.14711821,0.147542069,0.127924694,0.313446072,0.732846156,0.566327615,0.35400573,0.26110073,0.30864046,-0.117722104,0.2920495,0.385447724,0.238845338,0.242642983
YDR238C,0.112728246,0.104725926,0.150011527,0.180809,0.125925026,0.382946911,0.042293566,0.396602231,0.308705072,0.081586623,0.433565416,0.151906015,0.200566456,0.29652647,1.365104954,0.501436688,0.509812883,0.09202065,0.341101289,0.486355841,-0.415509058,0.260485285,-0.220932284,0.224516152,0.372070656
YDR258C,-0.241125286,-0.769082919,-1.376719009,-1.804329768,-1.998974545,-0.717876594,-1.331638206,-1.401733963,-1.084456993,-1.832931109,-0.317632787,-1.526728022,-1.501045742,-1.497651013,-1.770234256,0.205491074,-0.756864959,-0.982001261,-1.449877981,-1.918488701,0.326298863,-0.65515602,-1.478012741,-1.431540136,-1.773274146
YDR280W,0.145509092,0.144175527,0.576735222,0.683745193,-0.02217641,-0.326576546,0.046438684,0.162329711,-0.124988062,-0.087244322,0.029170097,0.030145534,-0.041837859,-0.048921334,-0.16478299,-0.276849499,-0.24461664,-0.22164253,-0.663348857,0.056483698,-0.169798355,-0.084383391,-0.199328795,-0.049310868,-0.027675635
YDR293C,0.529495077,0.190582043,0.152081566,0.178129742,0.384817421,-0.430113248,-0.002031717,0.025803896,-0.511992765,-2.96276722,0.447505407,-1.35762302,-0.168537364,-3.606149476,-0.68826855,-0.817847627,-0.301372829,-0.580025918,-0.524904972,-0.723304862,0.480570245,-0.208030901,0.261439522,-0.368037264,-0.93943166
YDR294C,-0.059187669,-0.011764297,-0.138166194,-0.049931442,-0.317290627,1.18014392,0.45770391,-0.567111718,-0.491357238,-0.290408556,0.262196306,-0.125626319,-0.148859994,0.042951652,-0.127676049,-0.058412643,0.039936363,0.068097348,-0.036759454,0.029889987,0.52477094,0.41933857,0.172446061,0.270360437,-0.071813938
YDR298C,-0.089162005,-0.038209159,-0.236735051,-0.517772782,-1.225665896,0.490507244,0.523788662,0.748800894,0.934172544,0.411162842,-0.543691116,-0.686661345,-0.603140269,-1.062217239,-1.200217625,-0.746144368,-1.2243121,-1.677972192,-1.715235508,-1.635570884,-0.270685162,-0.969851891,-1.473362981,-1.201271905,-1.212597955
YDR299W,-0.60642529,-0.203236236,0.020950337,0.418278085,0.635536235,-0.055461179,0.144243381,0.090585186,0.130075722,0.418350671,0.26448459,0.390282779,0.058936218,0.664620167,0.731771255,0.351512138,0.348561524,0.401630775,0.48952816,0.608046736,-0.607573602,-0.072154416,0.093266871,0.335083834,0.506924597
YDR300C,-2.477348333,-1.097174651,-1.088618806,-2.274553306,-1.306853178,-5.615604506,-1.942148928,-1.438367749,-1.485612174,-1.871838432,-4.6106855,-1.818010598,-2.322457347,-0.414770282,-2.238159127,-1.059115182,-1.049768202,-0.861657745,-1.168316222,-0.439035879,-2.224070495,-1.793945833,-1.508587722,-0.601444313,-1.106767622
YDR304C,0.460912795,-0.039954003,0.172773113,0.131344989,0.609934642,0.052077923,-0.130532577,-0.401833231,0.365229972,0.069701726,0.116741349,1.070052425,1.054144606,0.283580588,1.696090229,0.661390678,0.326577837,0.233383652,0.143532151,0.382428546,-0.051156907,0.556064032,-0.014138238,1.542206181,0.444500514
YDR321W,-1.448947952,-1.512014444,-0.440501496,0.034502902,0.402977251,0.068706515,0.008777758,-0.154837391,0.289380969,0.901454544,0.007970865,0.116221513,0.179109441,0.555865943,0.344008576,-0.10194456,-0.794572498,-0.627498527,0.455708633,0.406592473,-0.454697255,-0.51590797,0.396342333,-0.048567392,0.691879002
YDR322C-A,-0.153556842,-0.356413501,-0.158394856,-0.205593062,-0.953365892,1.593164056,1.055762863,0.860256187,1.262690448,1.140573432,-0.218722501,-0.388292401,-0.425559751,-0.475468574,-1.17807501,-0.34431788,-1.10158518,-3.044125663,-0.774667808,-1.672536315,-0.280300748,-0.749222115,-1.010453665,-0.779058771,-0.602929034
YDR328C,-0.169598942,-0.461346354,-0.257569577,-0.556220831,0.441541006,0.328665439,0.352551887,0.059225865,-0.306095822,-0.481583738,0.633347543,-0.013444538,-0.674528129,-0.141999527,-0.045614609,0.103810254,-0.144645203,0.231086592,-0.204061578,-0.262524609,0.026918755,0.057096094,-0.075602692,-0.432786768,-0.274787465
YDR335W,0.077712652,0.225516307,0.141843339,0.033812576,-0.161294995,0.314546678,0.112196982,-0.030219928,0.070778082,0.098817922,0.407642066,0.530117259,0.584198294,0.493295035,0.156344385,-0.87173014,-0.085818493,-0.110855522,-0.333450877,-0.093222678,0.220695018,-0.131045073,-0.086657567,6.941232815,0.101877779
YDR341C,0.096891112,0.115647004,0.220115858,0.26763114,0.194782218,0.034970687,-0.120738147,-0.225229173,-0.33296512,-0.164596981,-0.02010069,0.022248877,-0.058012425,0.000522377,0.02920684,0.931541857,0.579917713,0.455128956,0.254062628,0.171594684,0.050212971,0.253759352,0.736151556,0.160249863,0.010748574
YDR342C,-0.712964947,0.20842855,-1.006230501,-1.134199189,-1.720441816,5.462648076,1.654584032,6.011396304,1.867933548,1.162783455,-0.69652405,-1.430801845,2.392109011,1.78011414,-0.994025643,0.843582111,1.096989531,-0.873140289,-0.637454813,0.333674055,0.620157086,0.98687944,1.97220181,-1.346919923,0.761013006
YDR345C,-0.343942682,-0.32607684,0.40579981,-1.561040703,0.011758735,-2.383804783,-2.231118127,-2.9732216,-0.43583857,-0.980243739,-2.691013855,-0.795037915,-3.083254342,0.424653036,-1.884668313,1.542828076,0.191151063,0.062057202,0.056063645,0.304457119,2.36134962,-0.27766999,1.049812883,0.965656424,-2.204994422
YDR346C,-1.383375627,-0.831193827,-0.041141386,-0.855997754,-0.377181894,-0.390333287,-0.100674713,-0.388000333,-0.443138681,-0.643908061,-0.269637722,-0.718421399,-0.957185433,-0.342359343,-0.019605782,-0.506566219,-0.712692793,-0.347549696,-0.327003644,-0.166485472,-0.620729928,-0.567099518,-0.740162175,-0.730634724,-0.778225425
