Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0.05,P0.11,P0.16,P0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
L-serine,t_0497,0.005888803,0.016981629,0.129300224,-0.080131343,-0.293455931,-0.637116396,-1.370889392,-1.552588201,-1.394059445,-1.070837795,-0.541127372,-3.087887194,-2.910524586,-2.171126162,-0.63912782,-0.210313091,-0.474719436,-0.352538553,0.062822822,0.083516201,-0.404964815,-2.058566768,-1.881612972,-1.814794107,-1.313303304,-0.869876498
L-threonine,t_0499,0.001503307,0.011766814,0.276834573,0.246053034,0.384568865,0.095843912,-1.318629089,-1.353019817,-1.155258344,-0.818413799,-0.221267464,-1.318299183,-1.086513542,-0.459678571,0.659973685,0.840115446,1.445090509,1.521695995,1.392078258,1.168950177,0.68563956,0.274000042,0.195146077,0.372282046,0.584410013,0.638609685
L-tryptophan,t_0500,0.000139171,0.084144516,-0.312801362,-0.533771297,-0.621369014,-1.131602191,-1.019206021,-1.745094721,-1.90464442,-1.227950408,-1.858846053,-1.936176963,-2.548246671,-1.792663291,-0.440667733,-0.209892432,2.108324464,2.303162795,2.312176232,1.899438408,1.152875193,-0.426674955,-0.965533159,-1.011528167,-1.03779781,-1.018346073
L-tyrosine,t_0501,0.001354028,0.119933432,-0.51077632,-0.779589854,-0.891789433,-1.656229996,-1.337825254,-2.349607912,-2.650210879,-1.791185734,-3.002754986,-2.304142241,-3.010049314,-2.376975226,-0.984443986,-0.928642839,3.550360708,3.718783173,3.556311325,2.838248367,1.776070707,-0.586734355,-1.606516242,-1.655140671,-1.935267703,-2.097016297
L-valine,t_0502,0.006523254,0.057115176,0.499409592,0.530647154,0.739294222,0.40329387,-1.481779118,-1.715513434,-1.639822098,-0.912230162,-1.04688642,-1.496214267,-2.098494822,-1.056298276,0.355805416,0.515315722,1.046110289,1.216778299,1.216939931,1.054185556,0.641671995,-0.483749038,-0.589818634,-0.549065583,-0.311107957,-0.157834263
N-acetyl-alpha-D-glucosamine 1-phosphate,t_0552,1.21E-05,-0.078651138,1.453853148,2.197350533,3.454934597,3.637601869,1.341334987,1.707040794,1.93624098,2.415075893,2.454582494,3.078621219,2.864540144,3.444380465,3.85512691,3.561185105,3.951505468,4.235314612,3.921567689,3.878980997,3.986836701,2.786398832,2.693977665,3.224243036,3.337296363,3.210803352
N-acetyl-L-glutamate,t_0555,NA,-0.141348468,0.479105282,0.533575378,0.314384023,0.115159857,0.718912467,0.90377356,1.057919428,0.753341816,1.025286343,-3.286692938,-1.93034945,-2.45617888,-2.053673042,-2.006540677,-1.570166934,-1.550862945,-0.570209134,-0.141057843,-0.280831428,-3.610209904,-3.340978803,-3.064840607,-2.678400716,-2.209161567
N-carbamoyl-L-aspartate,t_0557,NA,-0.128258684,1.653275172,2.171474102,2.813553453,2.614309165,-1.114674242,-0.27680279,0.330233762,0.559797277,1.551897279,1.046345345,1.390759397,2.527338192,2.613357748,2.406828767,2.08074805,1.814238874,0.447205141,0.249530438,0.175683002,9.053388552,9.144599911,9.323197605,8.647103122,7.366386647
NAD,t_0560,0.000306328,-0.041612966,0.244031721,0.357947267,0.466637478,0.425725899,1.935239829,1.84012545,1.831874463,1.768682322,1.398345081,0.82433628,0.761984875,0.956262561,1.054294738,1.06945791,1.381523036,1.388235149,1.41526734,1.397651562,1.287538609,0.876920073,0.786164615,0.973687848,0.979111059,0.976612412
NADH,t_0561,1.11E-05,-0.067511418,0.471531101,0.949427732,2.204598663,2.643238675,-1.502814238,-1.290157011,-1.103668322,-0.42256326,0.826673686,0.886660523,1.165747052,1.267301588,2.231128833,2.388263789,2.216524209,3.017272383,3.367664398,3.563325001,3.757713994,0.801944551,0.961795474,1.261805886,1.657076072,1.859892118
NADP(+),t_0562,2.43E-07,-0.086370495,0.921742907,1.245317767,1.56232163,1.447820024,2.152871564,2.402662682,2.590347545,2.438544009,2.315769121,1.017593038,1.434169491,1.624539274,1.722363115,1.52724483,2.042854316,1.91222572,1.805448714,1.769186796,1.61838584,0.868107003,0.812439277,1.259629109,1.357817259,1.351030159
nicotinate,t_0566,NA,-0.014145965,0.103270847,0.260297144,0.679478831,1.190624032,-0.875008002,-0.705673028,-0.667918759,-0.384761855,0.2563523,0.272465589,-0.087036527,0.038905244,0.34983386,0.630185549,-1.944615575,-1.479878576,-0.901954715,-0.385054736,0.197088023,-0.927563994,-0.334942626,-0.46226159,-0.037564585,0.369048878
ornithine,t_0587,0.000596161,-0.136784336,0.524368843,0.468069324,0.419216548,-0.284283156,-1.373438212,-1.087844174,-0.56285698,-0.728791763,0.899943031,-3.935846643,-1.582671881,-1.590072253,-0.263180471,-0.148769302,2.589854814,2.456422296,2.403570175,2.060189416,0.982434447,0.286190773,0.062106057,0.679199278,0.856983936,0.745100577
orotate,t_0588,NA,-0.202217975,0.544450459,0.980435388,1.83377607,2.214739153,-0.281976891,-0.127911037,0.107437828,0.689038967,1.66156022,0.128471941,-0.008185137,0.867168799,1.509514081,2.072364136,0.479514697,1.214601936,1.274403287,1.790892285,2.151828463,8.485312177,8.923400241,8.767641554,8.286899276,7.418401764
orotidine 5'-(dihydrogen phosphate),t_0589,NA,-0.173343709,-0.20560701,-0.132762612,0.052253609,0.295407436,-0.191136155,-0.191633625,-0.062118737,0.103584746,0.936088814,-0.42706461,-0.413355815,0.159538709,0.218711164,0.83146039,-0.526728645,-0.098445908,-0.275585423,0.091147472,0.327252574,9.047848293,9.371305062,8.987775511,8.186291323,7.065748224
phosphate,t_0608,0.001930672,0,0.269482283,0.40888759,0.582884646,0.689123278,1.670579427,1.674193296,1.698081293,1.615054473,1.581364032,0.6964515,0.790826308,0.853259818,0.90947999,1.005870991,0.687880146,0.809126612,1.010292839,1.164984821,1.224694858,0.978251724,1.069236717,1.212428508,1.267697052,1.299761267
phosphoenolpyruvate,t_0617,NA,-0.077738058,0.514019703,0.86989215,1.254360471,1.680240625,5.522300059,5.883549037,5.970136612,5.137711145,5.002749754,5.282186123,5.522651909,5.262345439,4.296727932,4.076474467,2.756700186,2.521110874,2.307357715,2.3216473,2.607897529,1.002237454,1.119485514,1.744792706,2.059856799,2.342209811
prephenate,t_0628,NA,0.024149879,0.06601568,0.068744304,0.178902127,-0.150167401,-0.299521802,-0.514964379,-0.525426931,-0.282246907,-0.536888614,-0.343737097,-0.283754904,-0.098865647,0.360504862,0.25044474,2.387822463,2.36865149,2.093783737,1.70797118,1.221044016,0.361027523,-0.104955791,0.053709395,-0.067113504,-0.215540923
PRPP,t_0634,6.12E-07,-0.136413403,-1.575983743,-1.812617107,-1.957337993,-1.563629143,3.728578454,3.547489768,3.432528686,2.292449608,3.233653439,2.385611535,4.046156661,2.547402987,1.449433603,1.725811135,2.755345852,2.877613139,2.994309022,2.877991395,2.739785426,2.485463667,2.240889523,2.572098651,2.359731234,2.194787236
pyridoxine,t_0641,NA,0.008456179,0.129136761,0.325672565,0.944594286,1.398142432,-1.485362467,-1.21304598,-1.094348784,-0.793383731,0.196378841,1.024567123,0.929516839,0.986065732,1.292482458,1.423922215,-0.259959431,0.140539887,0.306794724,0.526658197,0.925219712,-0.285579875,0.082614672,0.110832613,0.49120385,0.768263843
pyruvate,t_0643,0.004060509,0.005873993,0.177271254,0.315752655,0.718787424,0.680401718,-1.1612608,-1.012641162,-0.8986054,-0.709084026,-0.239518577,0.604896194,0.899026671,0.866698213,0.989146576,0.821113009,1.946382478,1.997067127,1.584969212,1.312571603,1.152945725,1.208539348,0.970394379,1.130362366,1.034319217,0.809740105
quinolinate,t_0644,NA,0.22519466,-1.417260722,-2.294810689,-3.602178031,-4.025726903,-2.500329519,-2.781170261,-2.891062498,-3.296911304,-3.18223218,-1.148421887,-1.483108711,-1.371390833,-1.77606613,-1.675655384,-1.79238352,-2.520823054,-3.459674179,-4.121679879,-4.584254487,-0.694644137,-0.933423626,-1.427536597,-1.684912017,-1.885726856
riboflavin,t_0645,NA,0.050574379,-0.175834919,-0.361349617,-0.738261202,-0.818868641,-1.991174802,-1.921127039,-1.948596326,-1.936111578,-1.894304682,-1.907560066,-1.863879597,-2.109533863,-2.222652152,-2.282224944,-2.619791695,-2.744529056,-2.567467447,-2.460586239,-2.353570726,-2.536858923,-2.391266304,-2.647691349,-2.596064337,-2.451394083
ribose-5-phosphate,t_0646,7.88E-06,-0.176735026,1.630703971,2.504308058,3.903340694,4.391101783,3.055047467,3.553331543,3.854200895,4.113760045,4.52740946,3.333902574,3.425329016,3.928780645,4.429376308,4.393689273,3.102764075,3.612634796,3.908837988,4.32186804,4.721107572,2.483058312,2.839780324,3.504037277,3.949322133,4.15211084
S-adenosyl-L-methionine,t_0652,NA,-0.019613641,0.027784178,0.004963167,-0.054114983,-0.343309057,-1.340729084,-1.279048932,-1.223367436,-1.221687943,-1.052045195,-1.708645114,-0.907710359,-1.367843637,-1.334908462,-1.556174631,0.51184964,0.420088994,0.373055646,0.187840174,-0.12498572,-0.918241632,-1.212039531,-1.1192501,-1.272783526,-1.422577613
sedoheptulose 7-phosphate,t_0659,1.35E-05,-0.174477001,1.411720312,2.128485692,2.980526421,3.246016829,5.532257203,5.704662563,5.788806227,5.699017795,4.895246206,3.352454507,3.181097089,3.566397894,3.59491978,3.473796032,2.945238998,3.155493582,3.525618987,3.881746088,4.135425519,1.859782742,1.990648576,2.612029072,2.853361155,3.03801103
succinate,t_0674,0.000860013,-0.003938999,-0.619842117,-0.549812714,-0.125860385,0.579098491,-0.548467189,-0.732685751,-0.945727127,-0.576817423,-0.306415418,0.996019444,0.165845437,0.082141736,0.056471327,0.469995545,-1.839255961,-1.136357649,-0.496476172,0.047086809,0.780018369,0.579221632,1.023007288,0.643287928,0.747384758,0.924115464
sucrose,t_0677,NA,0.164459722,-1.011720806,-1.326562453,-1.987140552,-2.077793227,1.688395283,1.255552594,0.767269822,0.330165631,-1.517123362,3.141977443,1.978600142,1.483684465,-0.32293718,-0.831854145,0.655385024,0.035933785,-0.92773743,-1.51753403,-1.476314245,0.915976622,0.205363576,-0.151901164,-0.926992686,-1.439295898
thiamine,t_0688,NA,-0.095819823,0.392773856,0.778538887,1.363858127,1.71454605,0.288019072,0.497048451,0.492290863,0.655085374,0.687570235,0.783475058,0.86116368,0.514611108,0.176581318,0.063720475,-0.153793624,0.195109106,0.508238977,0.873894978,1.34360984,1.147243528,1.29623236,1.311076626,1.185690221,1.043851372
trans-aconitate,t_0694,NA,0.232590092,-0.458978994,-0.849874717,-1.252126592,-1.296534308,-1.854504816,-2.122279187,-2.22922456,-1.884103828,-2.127538653,0.682040217,-0.938677165,0.098262922,0.527568231,0.733479119,-1.27128524,-1.475358402,-2.007873017,-2.30453552,-2.316725326,-1.036486278,-0.930509668,-1.327303427,-1.08846982,-0.834059411
trehalose,t_0700,0.017947305,0.164459722,-1.011720806,-1.326562453,-1.987140552,-2.077793227,1.688395283,1.255552594,0.767269822,0.330165631,-1.517123362,3.141977443,1.978600142,1.483684465,-0.32293718,-0.831854145,0.655385024,0.035933785,-0.92773743,-1.51753403,-1.476314245,0.915976622,0.205363576,-0.151901164,-0.926992686,-1.439295898
UDP-D-glucose,t_0712,7.85E-05,-0.071398627,0.884440678,1.26168865,1.577489438,1.549619301,4.002511617,4.132158437,4.166419632,3.852842527,3.027715309,2.463208642,2.560174364,2.559452078,2.251764791,1.91374582,2.564063258,2.37033667,2.344046401,2.300929448,2.2539658,-0.137546855,-0.302193971,0.2236187,0.368454672,0.537376535
UDP-N-acetyl-alpha-D-glucosamine,t_0713,0.00021252,-0.000302805,0.905521425,1.241622337,1.69471083,1.585508415,1.773218146,2.127868237,2.315163159,2.115336221,2.018171438,2.600894682,2.952841586,2.968954419,2.811741842,2.322909084,3.393700484,3.08095067,2.543257529,2.164274697,1.94578266,-0.416427934,-0.700326317,-0.100489881,0.121746445,0.249494813
uridine,t_0720,NA,0.110326768,-1.889902,-2.802940506,-4.108673977,-4.395075327,-1.815895887,-2.276930265,-2.467489529,-3.034181796,-2.557145813,-3.006062581,-2.382732025,-3.057062371,-3.23918007,-2.869506629,-2.395544617,-2.708214198,-2.640017697,-2.919161668,-3.379063471,-2.68673955,-2.815921294,-3.216807709,-3.277611305,-3.145903269
UTP,t_0722,4.45E-05,-0.131267641,0.830417943,1.317266702,2.08183995,2.405105091,3.012716889,3.259882175,3.4064868,3.295121428,3.580789612,1.775081274,2.336715379,2.198681563,2.538469975,2.540619116,2.020117243,2.358968739,2.994631199,3.325535594,3.493678557,-1.1377457,-0.904138965,-0.29358559,0.301857747,0.865839678
