Metabolites,ion,name,feature,coef,coef (abs),cor,pval,fdr
2-Oxoadipate,159.03,CBF1,YJR060W,0.022676162,0.022676162,0.210318664,0.402212479,0.474461757
dUDP,387,NRG1,YDR043C,-0.022559542,0.022559542,-0.880831969,1.40E-06,2.35E-05
dUDP,387,BAS1,YKR099W,0.022513511,0.022513511,0.822244524,2.82E-05,0.000223973
Ornithine,131.08,CBF1,YJR060W,-0.022485964,0.022485964,0.468097014,0.050100225,0.085789901
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,CBF1,YJR060W,-0.022367798,0.022367798,0.603504218,0.008006261,0.019565174
gamma-Amino-gamma-cyanobutanoate,127.05,SWI5,YDR146C,-0.022367644,0.022367644,-0.745957445,0.000378687,0.00160459
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,RTG3,YBL103C,-0.022123741,0.022123741,-0.33213906,0.178113694,0.249176625
dUDP,387,UGA3,YDL170W,-0.022054333,0.022054333,-0.78202902,0.000125924,0.000703628
L-Glutamine,145.06,MBP1,YDL056W,-0.02196615,0.02196615,-0.898490541,4.10E-07,1.14E-05
NAD,662.1,HAP2,YGL237C,0.021874328,0.021874328,0.91776831,8.10E-08,4.74E-06
gamma-Amino-gamma-cyanobutanoate,127.05,BAS1,YKR099W,0.021868675,0.021868675,0.805326304,5.52E-05,0.000376561
Fumarate,115,ROX1,YPR065W,0.02154341,0.02154341,0.649236022,0.003550654,0.010234239
dUDP,387,PHO2,YDL106C,-0.021523185,0.021523185,-0.863272083,3.96E-06,4.62E-05
Pyruvate,87.01,MOT3,YMR070W,0.021013715,0.021013715,0.628867261,0.005178972,0.013998609
Ornithine,131.08,ARR1,YPR199C,0.020987304,0.020987304,0.23543624,0.346974121,0.419928781
Ornithine,131.08,MOT3,YMR070W,-0.020894796,0.020894796,-0.58597762,0.010603706,0.024267883
Inosine,267.07,CRZ1,YNL027W,0.020893151,0.020893151,0.396839024,0.102986924,0.158044821
Ornithine,131.08,HAP2,YGL237C,0.020800946,0.020800946,0.900256797,3.59E-07,1.08E-05
Inosine,267.07,LEU3,YLR451W,-0.020747019,0.020747019,0.061947315,0.807086848,0.841430969
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,STB4,YMR019W,-0.020726668,0.020726668,-0.863762911,3.86E-06,4.52E-05
Inosine,267.07,ROX1,YPR065W,-0.020491482,0.020491482,-0.479046882,0.044283256,0.077424796
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,CIN5,YOR028C,-0.02039828,0.02039828,-0.912400602,1.32E-07,5.15E-06
Hypoxanthine,135.03,HAP2,YGL237C,0.020271826,0.020271826,0.680994656,0.001862762,0.005982752
L-Saccharopine,275.12,HAP4,YKL109W,-0.020268986,0.020268986,-0.584036558,0.010928621,0.024692595
NAD,662.1,RDS1,YCR106W,-0.019959399,0.019959399,-0.766286512,0.000208437,0.001034606
"But-1-ene-1,2,4-tricarboxylate",187.02,MOT3,YMR070W,-0.019737088,0.019737088,-0.596006636,0.009045992,0.021635658
L-Proline,114.06,ADR1,YDR216W,0.019672774,0.019672774,0.671630226,0.002270555,0.007089918
L-Glutamine,145.06,DAL82,YNL314W,0.019578684,0.019578684,-0.589609726,0.010016534,0.023302285
Pyruvate,87.01,SWI5,YDR146C,-0.019425592,0.019425592,0.207687307,0.408260497,0.479524161
gamma-Amino-gamma-cyanobutanoate,127.05,PHO2,YDL106C,-0.019380482,0.019380482,-0.844170075,1.06E-05,0.000101398
"But-1-ene-1,2,4-tricarboxylate",187.02,RTG3,YBL103C,-0.019161457,0.019161457,-0.124345302,0.623006326,0.676098385
Deoxycytidine,226.08,SMP1,YBR182C,0.018894607,0.018894607,0.591002223,0.009798463,0.022891029
"But-1-ene-1,2,4-tricarboxylate",187.02,RLM1,YPL089C,-0.018818951,0.018818951,0.435985839,0.070500895,0.114954958
Pyruvate,87.01,MCM1,YMR043W,0.018796239,0.018796239,0.344920655,0.160982104,0.229237557
NAD,662.1,MSN4,YKL062W,-0.018710665,0.018710665,-0.861411829,4.39E-06,5.02E-05
gamma-Amino-gamma-cyanobutanoate,127.05,DAL82,YNL314W,0.018649731,0.018649731,-0.586962512,0.010441831,0.024070372
Hypoxanthine,135.03,RLM1,YPL089C,-0.018582749,0.018582749,-0.053144709,0.834109438,0.862544987
dUDP,387,ZAP1,YJL056C,-0.018506974,0.018506974,-0.916466971,9.15E-08,4.74E-06
L-Glutamine,145.06,HAP4,YKL109W,0.018145362,0.018145362,-0.812788857,4.14E-05,0.000307742
Ornithine,131.08,XBP1,YIL101C,-0.018095025,0.018095025,-0.746243421,0.000375662,0.001596712
gamma-Amino-gamma-cyanobutanoate,127.05,MBP1,YDL056W,-0.018093929,0.018093929,-0.905869368,2.30E-07,7.32E-06
Hypoxanthine,135.03,PDR1,YGL013C,0.017887118,0.017887118,0.391503753,0.108127917,0.164124264
dUDP,387,YAP3,YHL009C,0.017848882,0.017848882,0.708902813,0.000988713,0.00345417
Deoxycytidine,226.08,GAL4,YPL248C,0.017813597,0.017813597,0.498394397,0.035278158,0.064637163
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,SKO1,YNL167C,-0.017767631,0.017767631,-0.804921727,5.60E-05,0.000380984
Deoxycytidine,226.08,ARR1,YPR199C,0.017729183,0.017729183,0.388814137,0.110787902,0.167895068
NAD,662.1,LEU3,YLR451W,0.017548774,0.017548774,0.192788978,0.443410366,0.514173064
Deoxycytidine,226.08,MCM1,YMR043W,0.017524817,0.017524817,0.138213478,0.58442752,0.642032555
L-Proline,114.06,YAP3,YHL009C,-0.01732603,0.01732603,-0.629113414,0.005156193,0.013956776
Ornithine,131.08,ECM22,YLR228C,-0.01709011,0.01709011,-0.522519027,0.026102905,0.050032749
dUDP,387,YHP1,YDR451C,-0.017082235,0.017082235,-0.827570656,2.25E-05,0.000188786
Inosine,267.07,MOT3,YMR070W,-0.016905132,0.016905132,-0.046068822,0.855961722,0.879904707
2-Oxoadipate,159.03,RTG3,YBL103C,0.016896371,0.016896371,0.411112675,0.090098471,0.141014068
Hypoxanthine,135.03,SKN7,YHR206W,-0.016811628,0.016811628,-0.236261641,0.345236738,0.418621451
Inosine,267.07,RLM1,YPL089C,0.016769429,0.016769429,-0.178748417,0.477909481,0.54436465
NAD,662.1,UME6,YDR207C,-0.016679946,0.016679946,-0.940812449,6.28E-09,1.33E-06
L-Glutamine,145.06,BAS1,YKR099W,0.016518019,0.016518019,0.789777774,9.68E-05,0.000579807
Ornithine,131.08,UME6,YDR207C,-0.016353005,0.016353005,-0.826764945,2.33E-05,0.000194578
Xanthosine 5-phosphate,363.03,CBF1,YJR060W,-0.016294032,0.016294032,-0.421685361,0.081337196,0.129421633
Dethiobiotin,213.12,RTG3,YBL103C,-0.016259883,0.016259883,-0.535272779,0.022070821,0.043571632
L-Citrulline,174.09,ABF1,YKL112W,0.016223584,0.016223584,0.671202381,0.002290814,0.007141509
NAD,662.1,ROX1,YPR065W,-0.016101662,0.016101662,-0.91042366,1.57E-07,5.41E-06
dUDP,387,AZF1,YOR113W,-0.016086774,0.016086774,-0.871425901,2.49E-06,3.33E-05
Fumarate,115,CBF1,YJR060W,0.015971331,0.015971331,-0.496337241,0.036162356,0.065802243
Inosine,267.07,MCM1,YMR043W,0.015850295,0.015850295,0.161363449,0.522385917,0.58895545
Xanthine,151.03,LEU3,YLR451W,0.01581455,0.01581455,0.556608442,0.01643269,0.034133556
Deoxycytidine,226.08,CBF1,YJR060W,0.015708821,0.015708821,0.625834528,0.005466413,0.014610231
gamma-Amino-gamma-cyanobutanoate,127.05,GCR1,YPL075W,0.01569402,0.01569402,0.882025811,1.29E-06,2.35E-05
Inosine,267.07,CAD1,YDR423C,0.015622875,0.015622875,0.396579152,0.103233191,0.158075824
dUDP,387,HAP4,YKL109W,-0.015538406,0.015538406,-0.825712886,2.44E-05,0.000200885
gamma-Amino-gamma-cyanobutanoate,127.05,CBF1,YJR060W,-0.015421902,0.015421902,0.718557601,0.000780964,0.002815893
L-Citrulline,174.09,HAP2,YGL237C,0.015406345,0.015406345,0.846750374,9.35E-06,9.40E-05
gamma-Amino-gamma-cyanobutanoate,127.05,SIP4,YJL089W,0.015363724,0.015363724,0.751266734,0.000325751,0.001431056
Xanthosine 5-phosphate,363.03,ECM22,YLR228C,-0.015354948,0.015354948,0.020558685,0.935466424,0.946361215
NAD,662.1,NRG1,YDR043C,-0.015326863,0.015326863,-0.873854155,2.15E-06,2.92E-05
Dethiobiotin,213.12,SNT2,YGL131C,0.015318644,0.015318644,0.100522167,0.69146348,0.739444158
Ornithine,131.08,YAP5,YIR018W,0.015255953,0.015255953,0.705198631,0.001079759,0.003717873
Xanthine,151.03,DAL80,YKR034W,0.015153436,0.015153436,0.323894927,0.189790005,0.259805659
Fumarate,115,ECM22,YLR228C,-0.015041333,0.015041333,0.184837676,0.462787474,0.530844455
L-Saccharopine,275.12,STB4,YMR019W,-0.01500316,0.01500316,-0.879800995,1.49E-06,2.35E-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,AZF1,YOR113W,-0.014954217,0.014954217,-0.848146765,8.73E-06,8.82E-05
L-Proline,114.06,SIP4,YJL089W,-0.0149153,0.0149153,-0.670526059,0.002323143,0.00721874
dUDP,387,FKH2,YNL068C,0.014712894,0.014712894,0.922139732,5.31E-08,3.90E-06
Hypoxanthine,135.03,ROX1,YPR065W,-0.014663222,0.014663222,-0.586570175,0.010506076,0.024111545
L-Citrulline,174.09,RLM1,YPL089C,-0.014582355,0.014582355,0.330549495,0.180326523,0.251240891
Xanthosine 5-phosphate,363.03,YAP5,YIR018W,0.014517983,0.014517983,0.216625755,0.387915295,0.461011274
NAD,662.1,OPI1,YHL020C,-0.01430224,0.01430224,-0.931321362,2.00E-08,2.73E-06
Fumarate,115,GAT1,YFL021W,0.014184857,0.014184857,0.305093434,0.218289104,0.293148615
Ornithine,131.08,OPI1,YHL020C,-0.014103901,0.014103901,-0.816057401,3.63E-05,0.000273444
L-Saccharopine,275.12,YAP3,YHL009C,0.014061572,0.014061572,0.723650122,0.000686979,0.002534394
gamma-Amino-gamma-cyanobutanoate,127.05,AZF1,YOR113W,-0.013651233,0.013651233,-0.849200931,8.28E-06,8.51E-05
O-Phospho-L-serine,184,ADR1,YDR216W,-0.013609475,0.013609475,0.124337099,0.623029438,0.676098385
Dethiobiotin,213.12,ADR1,YDR216W,0.013570068,0.013570068,-0.091209785,0.71889131,0.76110875
Inosine,267.07,PUT3,YKL015W,0.013395034,0.013395034,0.085643584,0.735445421,0.774345014
Inosine,267.07,CBF1,YJR060W,-0.013367652,0.013367652,-0.105635474,0.676554759,0.725938318
Hypoxanthine,135.03,MCM1,YMR043W,0.013330883,0.013330883,0.238829289,0.3398642,0.413945498
L-Glutamine,145.06,AZF1,YOR113W,-0.013317473,0.013317473,-0.837905407,1.42E-05,0.000128785
4-Aminobutanoate,102.06,SKO1,YNL167C,0.013263542,0.013263542,0.321564929,0.193180057,0.264068018
L-Proline,114.06,ECM22,YLR228C,-0.01320501,0.01320501,0.35365575,0.149942469,0.216583566
2-Oxoadipate,159.03,RLM1,YPL089C,0.013201459,0.013201459,0.04787557,0.850371867,0.874628976
Pyruvate,87.01,BAS1,YKR099W,-0.013057325,0.013057325,-0.73913225,0.000457191,0.001862883
dUDP,387,HAP1,YLR256W,0.012924508,0.012924508,0.878101049,1.66E-06,2.48E-05
"But-1-ene-1,2,4-tricarboxylate",187.02,PDR1,YGL013C,-0.012924255,0.012924255,0.224412915,0.370655265,0.442424867
Ornithine,131.08,DAL82,YNL314W,0.012920644,0.012920644,-0.33355808,0.176153748,0.246796051
NAD,662.1,ECM22,YLR228C,-0.012903052,0.012903052,-0.637920281,0.00439321,0.012328083
NAD,662.1,ASH1,YKL185W,-0.012867515,0.012867515,-0.93469639,1.35E-08,2.16E-06
Hypoxanthine,135.03,ECM22,YLR228C,0.012865065,0.012865065,-0.191770757,0.445868098,0.516396325
Xanthosine 5-phosphate,363.03,GAL4,YPL248C,0.01281739,0.01281739,0.59722321,0.00887028,0.021349
L-Citrulline,174.09,SKN7,YHR206W,0.012563242,0.012563242,-0.48198334,0.042814498,0.075408762
Dethiobiotin,213.12,RLM1,YPL089C,0.012494293,0.012494293,0.368236974,0.132695602,0.19633025
4-Aminobutanoate,102.06,SMP1,YBR182C,-0.012257823,0.012257823,-0.187881124,0.455320831,0.52543364
Dethiobiotin,213.12,PDR3,YBL005W,0.012256321,0.012256321,-0.261909056,0.293772636,0.370805487
L-Glutamine,145.06,RIM101,YHL027W,-0.012154578,0.012154578,-0.620479092,0.006005601,0.015700004
Hypoxanthine,135.03,ARR1,YPR199C,0.012143189,0.012143189,0.476497801,0.045589064,0.079128703
2-Oxoadipate,159.03,SMP1,YBR182C,0.012057524,0.012057524,0.079685014,0.753290031,0.791824669
4-Aminobutanoate,102.06,PHD1,YKL043W,-0.012026026,0.012026026,-0.425675492,0.078198531,0.125366941
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,SUT1,YGL162W,-0.012001494,0.012001494,-0.875056346,2.00E-06,2.80E-05
Xanthine,151.03,ROX1,YPR065W,-0.011845922,0.011845922,-0.444665954,0.064467516,0.106664435
L-Glutamine,145.06,TEC1,YBR083W,-0.011826553,0.011826553,-0.829975232,2.03E-05,0.0001732
Ornithine,131.08,REB1,YBR049C,0.011760026,0.011760026,0.82996517,2.03E-05,0.0001732
Hypoxanthine,135.03,UME6,YDR207C,-0.011710279,0.011710279,-0.401820382,0.098347443,0.151688429
Pyruvate,87.01,ECM22,YLR228C,-0.011603854,0.011603854,0.374016181,0.126260115,0.187768934
L-Glutamine,145.06,ZAP1,YJL056C,-0.011576664,0.011576664,-0.874090391,2.12E-06,2.90E-05
Fumarate,115,BAS1,YKR099W,-0.011539058,0.011539058,-0.729582566,0.000589599,0.002244471
L-Citrulline,174.09,ARR1,YPR199C,0.011458493,0.011458493,0.227177042,0.364633931,0.436327766
gamma-Amino-gamma-cyanobutanoate,127.05,SFP1,YLR403W,0.011393244,0.011393244,0.891538298,6.82E-07,1.53E-05
Deoxycytidine,226.08,SFP1,YLR403W,0.011378071,0.011378071,0.775560737,0.000155636,0.000819338
Fumarate,115,ADR1,YDR216W,0.011369211,0.011369211,0.615290889,0.006568329,0.01687107
Dethiobiotin,213.12,ECM22,YLR228C,0.011320027,0.011320027,-0.24098597,0.335389189,0.409380656
Xanthosine 5-phosphate,363.03,GZF3,YJL110C,0.011266984,0.011266984,0.423678556,0.079758018,0.127332976
L-Citrulline,174.09,ASH1,YKL185W,-0.011235814,0.011235814,-0.798797385,7.03E-05,0.000458294
Pyruvate,87.01,REB1,YBR049C,-0.011037396,0.011037396,-0.709675048,0.000970562,0.003403199
"But-1-ene-1,2,4-tricarboxylate",187.02,YAP5,YIR018W,0.01103439,0.01103439,0.586559508,0.010507827,0.024111545
L-Citrulline,174.09,XBP1,YIL101C,-0.010833509,0.010833509,-0.72737455,0.000624396,0.002344244
"But-1-ene-1,2,4-tricarboxylate",187.02,DAL82,YNL314W,0.010803568,0.010803568,-0.406221852,0.094375018,0.146269796
Dethiobiotin,213.12,SKN7,YHR206W,0.010715829,0.010715829,0.014339426,0.954965845,0.962520954
L-Glutamine,145.06,YHP1,YDR451C,-0.010682776,0.010682776,-0.796130855,7.74E-05,0.000489578
NAD,662.1,RAP1,YNL216W,0.010653908,0.010653908,0.89894472,3.97E-07,1.14E-05
L-Saccharopine,275.12,UME6,YDR207C,-0.010568418,0.010568418,-0.84504334,1.02E-05,9.90E-05
dUDP,387,GAL4,YPL248C,0.010517246,0.010517246,0.242631786,0.33199736,0.405916158
Fumarate,115,UME6,YDR207C,0.010486248,0.010486248,0.589567073,0.010023275,0.023302285
L-Glutamine,145.06,MCM1,YMR043W,-0.010227409,0.010227409,-0.389267932,0.110335871,0.167342737
Ornithine,131.08,HAP3,YBL021C,-0.010125944,0.010125944,-0.787823899,0.000103531,0.00061253
L-Glutamine,145.06,HAP1,YLR256W,0.010005227,0.010005227,0.845119426,1.01E-05,9.90E-05
L-Proline,114.06,OPI1,YHL020C,0.009993242,0.009993242,0.817172461,3.47E-05,0.000262472
L-Saccharopine,275.12,HAP3,YBL021C,-0.009939317,0.009939317,-0.844345578,1.05E-05,0.000101374
L-Proline,114.06,SUT1,YGL162W,0.009883611,0.009883611,0.808384129,4.91E-05,0.000347622
2-Oxoadipate,159.03,GAT1,YFL021W,0.009864568,0.009864568,0.489953504,0.039014892,0.069941331
Xanthosine 5-phosphate,363.03,YAP3,YHL009C,-0.009842291,0.009842291,-0.341635102,0.165274122,0.234580365
O-Phospho-L-serine,184,RLM1,YPL089C,-0.009780615,0.009780615,-0.496273758,0.03618991,0.065802243
gamma-Amino-gamma-cyanobutanoate,127.05,FKH1,YIL131C,-0.009615289,0.009615289,-0.848334458,8.65E-06,8.79E-05
Ornithine,131.08,STB4,YMR019W,-0.009607414,0.009607414,-0.801111754,6.46E-05,0.000428377
L-Glutamine,145.06,RLM1,YPL089C,-0.009586433,0.009586433,0.618191182,0.006248725,0.016214707
L-Proline,114.06,TEC1,YBR083W,0.009572052,0.009572052,0.759828661,0.000253526,0.001181679
gamma-Amino-gamma-cyanobutanoate,127.05,HAP3,YBL021C,-0.009530053,0.009530053,-0.782505545,0.00012394,0.000696614
L-Glutamine,145.06,FKH2,YNL068C,0.009460693,0.009460693,0.886102775,9.90E-07,1.97E-05
Hypoxanthine,135.03,TYE7,YOR344C,0.009446387,0.009446387,0.295477281,0.233882557,0.308880142
Ornithine,131.08,SNT2,YGL131C,-0.009292742,0.009292742,-0.28968182,0.243615675,0.319526118
O-Phospho-L-serine,184,MCM1,YMR043W,0.009227018,0.009227018,0.51056375,0.030382862,0.056979048
Fumarate,115,PDR1,YGL013C,0.009199839,0.009199839,-0.110669805,0.661987237,0.711505967
Xanthine,151.03,DAL82,YNL314W,0.009181959,0.009181959,0.205024772,0.414429593,0.48527877
4-Aminobutanoate,102.06,RPN4,YDL020C,0.009169466,0.009169466,0.459876738,0.054833298,0.092731356
dUDP,387,MCM1,YMR043W,-0.009129613,0.009129613,-0.418571724,0.083849701,0.132536625
NAD,662.1,YAP3,YHL009C,0.008968345,0.008968345,0.792143107,8.91E-05,0.00055156
"But-1-ene-1,2,4-tricarboxylate",187.02,MCM1,YMR043W,0.008900734,0.008900734,-0.246051798,0.325013412,0.400193705
O-Phospho-L-serine,184,SKO1,YNL167C,0.008867832,0.008867832,0.685820532,0.001677524,0.00550816
NAD,662.1,INO2,YDR123C,-0.0088416,0.0088416,-0.914532837,1.09E-07,4.74E-06
2-Oxoadipate,159.03,GZF3,YJL110C,0.008833882,0.008833882,0.349987813,0.154512722,0.222344738
gamma-Amino-gamma-cyanobutanoate,127.05,RIM101,YHL027W,-0.00881499,0.00881499,-0.622658325,0.005781217,0.015259538
2-Oxoadipate,159.03,UME6,YDR207C,0.008707442,0.008707442,0.412663368,0.088772398,0.139166572
L-Glutamine,145.06,RTG3,YBL103C,0.008516726,0.008516726,-0.073997225,0.770435566,0.808069356
L-Glutamine,145.06,GCR1,YPL075W,0.008477499,0.008477499,0.871024185,2.55E-06,3.36E-05
Dethiobiotin,213.12,MCM1,YMR043W,0.008467131,0.008467131,-0.267994989,0.28228388,0.359390069
gamma-Amino-gamma-cyanobutanoate,127.05,SPT23,YKL020C,-0.008408877,0.008408877,-0.880453578,1.43E-06,2.35E-05
Inosine,267.07,HAP2,YGL237C,0.008402341,0.008402341,0.5456471,0.019165816,0.038757539
4-Aminobutanoate,102.06,MCM1,YMR043W,0.008381792,0.008381792,0.438948931,0.068396202,0.111819931
Dethiobiotin,213.12,MOT3,YMR070W,0.008285393,0.008285393,-0.158918633,0.528790394,0.594073159
L-Proline,114.06,HAP2,YGL237C,-0.008256129,0.008256129,-0.837521188,1.45E-05,0.000129931
L-Citrulline,174.09,CBF1,YJR060W,-0.008245188,0.008245188,0.440127201,0.06757235,0.110746793
Hypoxanthine,135.03,GAT1,YFL021W,0.008173058,0.008173058,-0.064501682,0.79928273,0.835117166
gamma-Amino-gamma-cyanobutanoate,127.05,TEC1,YBR083W,-0.008127869,0.008127869,-0.842502248,1.15E-05,0.000109054
Fumarate,115,GAL4,YPL248C,-0.00807772,0.00807772,-0.349501222,0.155126105,0.222729794
"But-1-ene-1,2,4-tricarboxylate",187.02,GZF3,YJL110C,0.007984831,0.007984831,-0.137271725,0.587015266,0.643595051
2-Oxoadipate,159.03,ABF1,YKL112W,0.007826676,0.007826676,0.037430019,0.882775015,0.902526238
NAD,662.1,CBF1,YJR060W,-0.007824683,0.007824683,0.571379547,0.013247782,0.028801492
L-Saccharopine,275.12,SPT2,YER161C,-0.007823392,0.007823392,-0.713412883,0.000886578,0.003125925
L-Citrulline,174.09,BAS1,YKR099W,0.007817033,0.007817033,0.824137302,2.61E-05,0.000211106
Xanthosine 5-phosphate,363.03,XBP1,YIL101C,-0.007807934,0.007807934,0.292754471,0.238423879,0.313577448
dUDP,387,INO2,YDR123C,-0.007721933,0.007721933,-0.910302432,1.59E-07,5.41E-06
Dethiobiotin,213.12,HAP2,YGL237C,0.007663267,0.007663267,0.567627941,0.014005632,0.030072767
Xanthine,151.03,MCM1,YMR043W,0.007639539,0.007639539,0.355062922,0.148214087,0.214573575
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,SMP1,YBR182C,-0.007518733,0.007518733,0.357535346,0.145210641,0.211185338
dUDP,387,HAP2,YGL237C,0.007517934,0.007517934,0.846269898,9.57E-06,9.54E-05
Inosine,267.07,HAP4,YKL109W,-0.007476476,0.007476476,-0.006543216,0.979442681,0.982012048
NAD,662.1,MOT3,YMR070W,-0.007399443,0.007399443,-0.636767001,0.00448753,0.012509177
NAD,662.1,REB1,YBR049C,0.007391521,0.007391521,0.78593892,0.000110411,0.000637446
L-Saccharopine,275.12,AZF1,YOR113W,-0.00738825,0.00738825,-0.772364687,0.000172378,0.000883147
L-Proline,114.06,GAT1,YFL021W,0.007374827,0.007374827,0.465812794,0.051383221,0.087438412
Deoxycytidine,226.08,LEU3,YLR451W,0.007273779,0.007273779,0.42756493,0.076743714,0.123448853
4-Aminobutanoate,102.06,SIP4,YJL089W,-0.007249264,0.007249264,-0.334230649,0.175229886,0.245862197
NAD,662.1,PUT3,YKL015W,-0.007190172,0.007190172,-0.335457629,0.173552882,0.243867321
gamma-Amino-gamma-cyanobutanoate,127.05,HAP4,YKL109W,-0.007181079,0.007181079,-0.820032396,3.09E-05,0.000239277
gamma-Amino-gamma-cyanobutanoate,127.05,MCM1,YMR043W,-0.007112123,0.007112123,-0.391989149,0.10765277,0.163663041
dUDP,387,THI2,YBR240C,-0.007073829,0.007073829,-0.647828248,0.003647625,0.010497908
O-Phospho-L-serine,184,SNT2,YGL131C,-0.00699387,0.00699387,-0.113768415,0.653077675,0.704170873
dUDP,387,SWI5,YDR146C,-0.006881988,0.006881988,-0.773163006,0.00016806,0.000865666
gamma-Amino-gamma-cyanobutanoate,127.05,RFX1,YLR176C,-0.006788109,0.006788109,-0.898824974,4.00E-07,1.14E-05
L-Citrulline,174.09,DAL82,YNL314W,0.006758566,0.006758566,-0.349498167,0.155129961,0.222729794
L-Glutamine,145.06,RFX1,YLR176C,-0.006676423,0.006676423,-0.886326017,9.76E-07,1.96E-05
Xanthosine 5-phosphate,363.03,SMP1,YBR182C,0.006659645,0.006659645,0.311710598,0.207960107,0.280856371
Pyruvate,87.01,HAP4,YKL109W,0.006645758,0.006645758,0.625482401,0.005500611,0.014660624
Inosine,267.07,SKO1,YNL167C,-0.006644899,0.006644899,-0.191233348,0.447168086,0.517274947
L-Glutamine,145.06,PHO2,YDL106C,-0.006634997,0.006634997,-0.844131627,1.06E-05,0.000101398
"But-1-ene-1,2,4-tricarboxylate",187.02,MSN4,YKL062W,-0.006621124,0.006621124,-0.8534373,6.69E-06,7.11E-05
Xanthine,151.03,RTG3,YBL103C,0.00661024,0.00661024,-0.08659974,0.732593645,0.772619456
4-Aminobutanoate,102.06,PDR3,YBL005W,-0.006504709,0.006504709,-0.037450721,0.8827106,0.902526238
L-Citrulline,174.09,MSN4,YKL062W,-0.006403531,0.006403531,-0.779748074,0.000135798,0.00074572
Ornithine,131.08,CAD1,YDR423C,0.006387011,0.006387011,-0.16499889,0.512929533,0.578977164
Hypoxanthine,135.03,PUT3,YKL015W,-0.006312202,0.006312202,-0.558723331,0.015942814,0.033224337
dUDP,387,FKH1,YIL131C,-0.006310105,0.006310105,-0.879285403,1.54E-06,2.36E-05
gamma-Amino-gamma-cyanobutanoate,127.05,FKH2,YNL068C,0.006303943,0.006303943,0.895432849,5.15E-07,1.29E-05
L-Glutamine,145.06,SIP4,YJL089W,0.006286961,0.006286961,0.740934739,0.000435241,0.001790228
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,YAP3,YHL009C,0.006271937,0.006271937,0.715686511,0.000838524,0.002978475
dUDP,387,SFP1,YLR403W,0.006255354,0.006255354,0.915095457,1.04E-07,4.74E-06
Pyruvate,87.01,YAP3,YHL009C,-0.00624737,0.00624737,-0.591790559,0.009676705,0.02271767
L-Proline,114.06,DAL82,YNL314W,-0.006227075,0.006227075,0.420707793,0.082120017,0.130341655
Dethiobiotin,213.12,YAP1,YML007W,0.006160474,0.006160474,0.254543753,0.308049021,0.386598566
Ornithine,131.08,NRG1,YDR043C,-0.006157987,0.006157987,-0.716028511,0.000831487,0.002964501
NAD,662.1,SUT1,YGL162W,-0.006155176,0.006155176,-0.909292995,1.73E-07,5.69E-06
L-Glutamine,145.06,SMP1,YBR182C,-0.006136872,0.006136872,0.244820801,0.327517199,0.401465918
Deoxycytidine,226.08,PUT3,YKL015W,0.00613126,0.00613126,-0.455609132,0.05741924,0.096506744
Fumarate,115,YAP1,YML007W,-0.006081058,0.006081058,-0.605103565,0.007797473,0.019177569
L-Citrulline,174.09,YOX1,YML027W,0.006070404,0.006070404,-0.526574965,0.024763014,0.047945411
Hypoxanthine,135.03,ABF1,YKL112W,0.006065858,0.006065858,0.573609356,0.01281306,0.02802464
dUDP,387,RIM101,YHL027W,-0.006047693,0.006047693,-0.669145005,0.002390326,0.007403426
Deoxycytidine,226.08,REB1,YBR049C,0.006035412,0.006035412,0.745520626,0.000383346,0.00162074
L-Glutamine,145.06,MAC1,YMR021C,-0.006031099,0.006031099,-0.811977249,4.27E-05,0.000316272
Xanthine,151.03,CBF1,YJR060W,0.006014765,0.006014765,0.327379849,0.184793796,0.255498892
Xanthosine 5-phosphate,363.03,ADR1,YDR216W,0.006011705,0.006011705,0.568251459,0.013877344,0.029935899
Inosine,267.07,ARR1,YPR199C,-0.00594078,0.00594078,-0.021902227,0.931258197,0.943602553
L-Saccharopine,275.12,SUT1,YGL162W,-0.005918448,0.005918448,-0.749592796,0.000341722,0.001490938
dUDP,387,ECM22,YLR228C,0.005904073,0.005904073,-0.488577559,0.039651677,0.070800798
"But-1-ene-1,2,4-tricarboxylate",187.02,GCR1,YPL075W,0.005903581,0.005903581,0.825727203,2.44E-05,0.000200885
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,HSF1,YGL073W,0.005851345,0.005851345,0.880475321,1.43E-06,2.35E-05
Xanthine,151.03,YAP3,YHL009C,0.005827319,0.005827319,0.182875035,0.467634978,0.535440649
Pyruvate,87.01,UME6,YDR207C,0.005819764,0.005819764,0.738188785,0.000469046,0.001895024
Pyruvate,87.01,RTG3,YBL103C,0.005818394,0.005818394,0.418459183,0.083941563,0.13257217
L-Proline,114.06,PDR1,YGL013C,-0.005808734,0.005808734,-0.374844427,0.125356118,0.186569736
