strain	growth	sd
YHL042W	0.988169	0.009427
YHL043W	1.000261	0.006469
YHL044W	1.016791	0.007046
YHL045W	1.058643	0.01209
YHL046C	1.016241	0.006225
YHL047C	1.007233	0.009514
YHL048C-A	1.002442	0.011161
YHL048W	0.994834	0.010351
YHL050C	1.121932	0.007257
YHR001W-A	0.988019	0.010196
YHR002W	0.862637	0.010953
YHR003C	1.012571	0.00929
YHR004C	0.940842	0.008927
YHR006W	1.011771	0.006461
YHR007C_damp	0.965011	0.010511
YHR007C_tsq14	1.041085	0.010529
YHR007C-A	0.99598	0.011355
YHR008C	0.997382	0.014692
YHR009C	0.990305	0.015695
YHR010W_damp	0.374743	0.009905
YHR011W	0.358404	0.040814
YHR011W_damp	0.989767	0.007508
YHR012W	0.801776	0.013688
YHR013C	0.513691	0.036757
YHR013C_damp	0.973929	0.0089
YHR014W	1.004998	0.006724
YHR015W	1.008357	0.006765
YHR016C	0.975944	0.009993
YHR017W	1.018308	0.009005
YHR019C_damp	0.760415	0.018771
YHR020W_damp	1.043755	0.012222
YHR021C	0.471126	0.023602
YHR021W-A	0.964526	0.014068
YHR022C	0.991558	0.00826
YHR022C-A	0.984786	0.018848
YHR024C_damp	0.997827	0.009295
YHR024C_tsq526	0.720573	0.025997
YHR028C	1.005659	0.008073
YHR029C	0.986845	0.007853
YHR030C	0.96672	0.010062
YHR031C	0.990204	0.009071
YHR032W	1.036461	0.006785
YHR033W	0.984025	0.007398
YHR034C	0.87356	0.0081
YHR035W	1.010003	0.006538
YHR036W_damp	1.079776	0.013835
YHR037W	1.01006	0.00983
YHR038W	0.569517	0.05222
YHR038W_damp	0.932049	0.005354
YHR039C	1.030429	0.007038
YHR039C-A	0.351938	0.02147
YHR039C-A_damp	0.799253	0.011096
YHR040W_damp	1.032909	0.016545
YHR041C	0.573466	0.020481
YHR042W_damp	0.966345	0.006982
YHR043C	1.007169	0.009077
YHR044C	1.009159	0.006818
YHR045W	1.016734	0.007276
YHR046C	0.987605	0.008842
YHR047C	0.999007	0.007122
YHR048W	1.016195	0.008577
YHR049C-A	1.01254	0.008694
YHR049W	1.001197	0.010055
YHR050W	1.0027	0.014535
YHR050W-A	0.910167	0.025455
YHR051W	0.656743	0.046164
YHR055C	1.066411	0.010044
YHR057C	1.028949	0.00956
YHR058C_damp	1.044229	0.00965
YHR059W	0.985706	0.014614
YHR060W	0.35623	0.023811
YHR060W_damp	0.990567	0.00714
YHR061C	1.020468	0.00696
YHR062C_damp	0.787428	0.005906
YHR063C	1.013891	0.006497
YHR064C	0.320785	0.01783
YHR064C_damp	0.93983	0.009474
YHR065C_damp	1.009129	0.008829
YHR066W	0.817441	0.016556
YHR067W	0.78471	0.014784
YHR068W_damp	1.013025	0.013058
YHR069C_damp	0.95379	0.009489
YHR070W_damp	1.014219	0.011128
YHR071W	0.988736	0.011843
YHR073W	0.999391	0.006958
YHR074W_damp	0.868394	0.010721
YHR075C	0.995857	0.009295
YHR076W	1.042682	0.00784
YHR077C	0.994596	0.007207
YHR078W	1.100455	0.016084
YHR079C	0.988882	0.011115
YHR079C-A	1.058907	0.010408
YHR079C-B	1.025666	0.011607
YHR080C	1.057133	0.007324
YHR081W	0.638748	0.016295
YHR082C	1.067124	0.010885
YHR083W_damp	1.024329	0.013457
YHR083W_tsq493	1.027412	0.007776
YHR085W_damp	0.980781	0.010883
YHR086W	1.021643	0.009299
YHR086W-A	1.000907	0.005628
YHR087W	1.000409	0.01539
YHR088W_damp	1.04181	0.017658
YHR089C	0.861552	0.011074
YHR091C	0.345903	0.065031
YHR092C	1.018031	0.00592
YHR093W	1.017749	0.008423
YHR094C	1.023649	0.008316
YHR095W	1.027484	0.013616
YHR096C	0.988058	0.008479
YHR097C	0.997437	0.007158
YHR099W	1.041412	0.011677
YHR100C	0.571781	0.026622
YHR103W	0.978312	0.010423
YHR104W	1.01327	0.006372
YHR105W	1.029763	0.006531
YHR106W	1.038039	0.008878
YHR107C_damp	0.912317	0.013324
YHR108W	0.909354	0.006524
YHR109W	1.008408	0.00814
YHR110W	1.00484	0.005821
YHR111W	0.875875	0.00904
YHR112C	1.036878	0.010138
YHR113W	1.05628	0.008791
YHR114W	1.009552	0.007461
YHR116W	0.730641	0.033195
YHR117W	1.084689	0.015241
YHR118C_damp	1.030544	0.010388
YHR119W	0.87423	0.008594
YHR120W	0.668286	0.042162
YHR120W_damp	0.991841	0.008782
YHR121W	1.000208	0.005676
YHR122W_damp	0.995815	0.012022
YHR123W	1.007438	0.007107
YHR124W	0.967644	0.006082
YHR125W	0.996214	0.008536
YHR126C	1.035965	0.011937
YHR127W	1.024576	0.006869
YHR128W	0.73419	0.017345
YHR129C	0.902045	0.022982
YHR130C	0.992506	0.014709
YHR131C	1.011839	0.005545
YHR132C	0.990278	0.010477
YHR132W-A	1.017496	0.009247
YHR133C	1.000091	0.008428
YHR134W	0.905254	0.008534
YHR135C	0.997579	0.008529
YHR136C	1.034007	0.009754
YHR137W	1.027899	0.009599
YHR138C	1.03014	0.00392
YHR139C	1.055255	0.01382
YHR139C-A	1.02711	0.008469
YHR140W	0.998582	0.010759
YHR141C	0.502024	0.022834
YHR142W	1.0053	0.006717
YHR143W	1.046028	0.008551
YHR143W-A_damp	0.812018	0.011118
YHR144C	0.819138	0.015723
YHR146W	1.026663	0.009544
YHR147C	0.426893	0.032509
YHR147C_damp	0.687598	0.012379
YHR148W_damp	0.547735	0.011647
YHR150W	0.986078	0.00858
YHR151C	1.020409	0.01026
YHR152W	1.032265	0.013011
YHR153C	1.030837	0.006865
YHR154W	1.005518	0.011676
YHR155W	1.038742	0.007486
YHR156C	1.041443	0.007936
YHR157W	0.954867	0.011115
YHR158C	1.008278	0.008538
YHR159W	1.035525	0.007985
YHR160C	1.048495	0.016881
YHR161C	0.964098	0.010653
YHR162W	0.987469	0.011063
YHR163W	1.037083	0.013102
YHR165C	1.001511	0.004579
YHR166C_damp	1.013015	0.007407
YHR167W	0.994308	0.011074
YHR168W	0.661782	0.041838
YHR170W_damp	0.918938	0.01585
YHR171W	0.946458	0.007419
YHR172W_damp	0.951721	0.012538
YHR175W-A	1.076755	0.012284
YHR176W	1.014407	0.006255
YHR177W	0.985409	0.007595
YHR178W	0.78893	0.039569
YHR179W	1.038825	0.005197
YHR180W	0.988437	0.053505
YHR181W	1.004544	0.007423
YHR182W	1.014878	0.008083
YHR183W	0.313554	0.03606
YHR183W_damp	0.929264	0.007876
YHR184W	0.983531	0.008721
YHR185C	0.994678	0.010804
YHR186C_damp	1.039126	0.010776
YHR186C_tsq291	0.973482	0.007565
YHR187W	0.759054	0.009453
YHR188C_damp	0.811902	0.006389
YHR189W	0.85795	0.018166
YHR190W_damp	0.97203	0.003664
YHR191C	0.883163	0.016786
YHR192W	1.098156	0.009134
YHR193C	0.958692	0.007933
YHR194W	0.461552	0.021785
YHR195W	1.02427	0.006666
YHR198C	0.971517	0.016362
YHR199C	1.020872	0.010395
YHR199C-A	0.998068	0.006926
YHR200W	0.932601	0.007345
YHR201C	1.007486	0.010638
YHR202W	1.01287	0.007204
YHR203C	0.714576	0.01623
YHR204W	1.016613	0.006578
YHR206W	0.961829	0.006505
YHR207C	1.036706	0.007008
YHR208W	0.793616	0.008754
YHR209W	1.027653	0.006704
YHR210C	1.011082	0.007368
YHR211W	1.063508	0.008309
YHR212W-A	1.064203	0.007024
YHR213W	1.040046	0.006766
YHR213W-A	1.060075	0.007791
YHR213W-B	1.051048	0.011185
YHR214C-D	0.983988	0.010201
YHR214C-E	1.102679	0.021455
YHR215W	0.980816	0.006486
YHR216W	1.028781	0.014032
YHR218W	1.035218	0.010707
YHR219W	1.023446	0.010531
YIL001W	1.019068	0.005027
YIL002C	0.988712	0.004891
YIL002W-A	0.98898	0.006939
YIL005W	0.989819	0.005598
YIL007C	1.004389	0.006338
YIL008W	0.828484	0.010892
YIL009C-A	1.034901	0.012108
YIL009W	1.090338	0.00985
YIL009W_damp	0.969666	0.008249
YIL010W	1.011842	0.008826
YIL011W	1.036862	0.010659
YIL012W	1.037522	0.012097
YIL013C	1.015746	0.006878
YIL014C-A	0.99288	0.010842
YIL014W	1.019873	0.006525
YIL015C-A	0.973834	0.011764
YIL015W	0.989973	0.006015
YIL016W	1.029638	0.007421
YIL017C	0.984606	0.006571
YIL018W	0.382951	0.040338
YIL019W_damp	0.9892	0.011501
YIL021W_damp	0.933466	0.01521
YIL022W_damp	0.925838	0.008785
YIL023C	1.050568	0.011049
YIL024C	0.9943	0.008393
YIL025C	1.036518	0.013454
YIL026C_damp	1.036107	0.008437
YIL027C	0.998903	0.009608
YIL028W	0.973903	0.016805
YIL029C	1.050964	0.01203
YIL030C	1.044374	0.006723
YIL031W_damp	0.997335	0.010782
YIL032C	1.002362	0.009838
YIL033C	0.947783	0.010351
YIL034C	1.003677	0.007984
YIL035C	0.970497	0.014738
YIL036W	0.976697	0.016293
YIL037C	1.020037	0.009783
YIL038C	0.867574	0.019665
YIL039W	0.986303	0.024239
YIL040W	0.84452	0.022506
YIL041W	1.004946	0.010123
YIL042C	1.021095	0.008328
YIL043C	1.031399	0.010093
YIL044C	0.933297	0.011537
YIL045W	0.982952	0.004022
YIL046W_damp	1.000587	0.014008
YIL046W-A	1.028215	0.008077
YIL047C	0.997697	0.006223
YIL048W_damp	0.96223	0.008821
YIL048W_tsq188	0.609806	0.010063
YIL050W	0.964772	0.009385
YIL051C_damp	0.941092	0.009392
YIL052C	0.89303	0.012081
YIL053W	0.966962	0.006922
YIL054W	1.015558	0.012054
YIL055C	1.018334	0.006793
YIL056W	0.999219	0.008314
YIL057C	1.053562	0.008294
YIL058W	0.973686	0.013654
YIL059C	1.006326	0.012678
YIL060W	0.63934	0.019053
YIL061C_damp	0.969333	0.007338
YIL062C_tsq888	0.648041	0.010205
YIL063C_damp	0.998057	0.00777
YIL064W	0.939682	0.010167
YIL065C	0.890726	0.01659
YIL066C	1.003875	0.006072
YIL067C	1.04438	0.010669
YIL068C_damp	1.007135	0.013954
YIL069C	0.871335	0.01164
YIL070C	0.876465	0.021905
YIL071C	1.040096	0.006571
YIL072W	1.035415	0.012477
YIL073C	0.978396	0.008678
YIL074C	1.023863	0.004946
YIL076W	0.633918	0.032338
YIL076W_damp	0.919762	0.005234
YIL077C	0.965975	0.012682
YIL078W_damp	0.949508	0.012728
YIL079C	0.981479	0.012365
YIL080W	1.006717	0.009278
YIL083C_damp	0.971487	0.008696
YIL084C	0.865858	0.016852
YIL085C	1.022485	0.007344
YIL086C	0.968439	0.016156
YIL087C	1.050289	0.008682
YIL088C	1.028594	0.007331
YIL089W	1.020851	0.007353
YIL090W	0.533087	0.022852
YIL090W_damp	0.991203	0.007566
YIL091C_damp	1.000546	0.012432
YIL092W	1.003083	0.009108
YIL093C	0.56219	0.01664
YIL095W	1.071184	0.009414
YIL096C	1.050212	0.008483
YIL097W	1.010585	0.008638
YIL098C	0.857491	0.023452
YIL099W	1.016046	0.005116
YIL100W	1.018002	0.010914
YIL101C	0.996651	0.006216
YIL102C	0.989487	0.009509
YIL103W	0.982038	0.006967
YIL104C_damp	1.001193	0.013268
YIL105C	1.040913	0.006496
YIL107C	1.013172	0.007442
YIL108W	1.013805	0.006344
YIL109C_damp	0.94441	0.009776
YIL110W	0.624145	0.036612
YIL111W	1.035434	0.007454
YIL112W	0.953544	0.009949
YIL113W	1.039019	0.010423
YIL114C	1.034203	0.006106
YIL115C_damp	1.036365	0.010247
YIL117C	1.023703	0.006922
YIL118W_damp	0.896661	0.010648
YIL118W_tsq654	0.941127	0.008832
YIL119C	1.066609	0.007913
YIL120W	1.077356	0.012775
YIL121W	0.989814	0.004739
YIL122W	0.922064	0.01157
YIL123W	1.011648	0.006019
YIL124W	1.036343	0.006912
YIL126W_damp	1.026807	0.005958
YIL127C	0.993483	0.008434
YIL128W	0.519727	0.017788
YIL130W	1.078312	0.007567
YIL131C	0.994227	0.007841
YIL132C	0.999923	0.009371
YIL133C	0.929658	0.010931
YIL134C-A	1.025493	0.0064
YIL134W	0.702857	0.02347
YIL135C	1.039214	0.009504
YIL136W	1.05975	0.007859
YIL137C	1.011203	0.012441
YIL138C	1.035853	0.005967
YIL139C	1.038155	0.011072
YIL140W	1.019771	0.009155
YIL141W	1.02903	0.011214
YIL142W_damp	0.881557	0.014178
YIL143C_damp	1.000304	0.011093
YIL144W_damp	1.04243	0.007899
YIL145C	0.987697	0.005737
YIL146C	1.022441	0.009098
YIL147C_damp	0.980211	0.007554
YIL148W	0.748166	0.029987
YIL149C	0.998503	0.010284
YIL150C_tsq110	0.941953	0.00814
YIL150C_tsq458	0.73151	0.012622
YIL151C	0.963698	0.007846
YIL152W	1.033954	0.010347
YIL153W	0.892498	0.01961
YIL154C	0.927728	0.016777
YIL155C	1.036415	0.008377
YIL156W	1.013747	0.007728
YIL157C	0.724324	0.031235
YIL158W	1.006427	0.012894
YIL159W	1.004314	0.011829
YIL160C	1.036834	0.012827
YIL161W	1.025362	0.00921
YIL162W	1.041625	0.008261
YIL163C	1.032451	0.009953
YIL164C	0.999986	0.005849
YIL165C	1.058173	0.008096
YIL166C	0.982107	0.026445
YIL167W	0.998538	0.007315
YIL168W	0.985086	0.010038
YIL169C	1.003524	0.013111
YIL170W	1.027469	0.006316
YIL171W_damp	1.000526	0.007367
YIL172C	1.026461	0.006291
YIL173W	1.015881	0.009748
YIL174W	1.136889	0.012896
YIL175W	0.99551	0.017448
YIL176C	0.995766	0.010954
YIR001C	1.012921	0.012496
YIR002C	0.956739	0.018433
YIR003W	1.030797	0.009141
YIR005W	0.824938	0.023359
YIR006C_tsq353	0.628631	0.014127
YIR007W	0.986914	0.010506
YIR008C_damp	0.787661	0.014251
YIR009W	0.366577	0.022909
YIR010W_tsq435	1.058417	0.006326
YIR010W_tsq436	0.956696	0.008185
YIR011C_damp	1.05162	0.011671
YIR013C	0.998401	0.008836
YIR014W	0.97942	0.007953
YIR015W_damp	0.968258	0.005237
YIR016W	0.975149	0.008773
YIR017C	1.021897	0.01146
YIR018C-A	1.01963	0.010364
YIR018W	1.048701	0.006503
YIR019C	0.96841	0.021099
YIR020C	1.04686	0.011274
YIR020W-B	1.015197	0.009398
YIR021W	0.676526	0.0992
YIR021W_damp	0.661661	0.023657
YIR021W-A	0.997722	0.006517
YIR022W_damp	0.848041	0.010178
YIR022W_tsq318	0.816907	0.011296
YIR023W	0.530262	0.01978
YIR024C	0.993189	0.008513
YIR025W	0.984358	0.01661
YIR026C	0.437348	0.019106
YIR026C_damp	1.01239	0.015206
YIR027C	0.987829	0.005432
YIR028W	1.005524	0.006079
YIR029W	1.043432	0.005221
YIR030C	1.032318	0.006577
YIR031C	1.009759	0.00578
YIR032C	1.031362	0.006188
YIR033W	0.852858	0.01204
YIR035C	1.025025	0.005504
YIR036C	1.003601	0.009101
YIR037W	1.022428	0.009572
YIR038C	1.030202	0.007354
YIR039C	1.023779	0.006619
YIR041W	1.009288	0.016192
YIR042C	1.029608	0.006017
YIR043C	1.044247	0.00811
YJL001W_damp	0.804862	0.008534
YJL002C_damp	0.847775	0.010088
YJL002C_tsq735	0.912534	0.009789
YJL003W	0.689419	0.048632
YJL003W_damp	0.258104	0.033396
YJL004C	0.963679	0.009401
YJL005W_tsq354	0.886987	0.01169
YJL006C_damp	0.975079	0.008414
YJL007C	1.01665	0.013149
YJL008C_damp	0.752122	0.020197
YJL010C_damp	1.025859	0.010463
YJL011C_damp	0.786974	0.005193
YJL012C	1.017514	0.008757
YJL013C	0.954166	0.043143
YJL015C_damp	0.962471	0.005808
YJL016W	1.02853	0.006463
YJL017W	1.079328	0.012633
YJL018W_damp	1.029034	0.013075
YJL020C	1.021658	0.008063
YJL021C	1.000027	0.008405
YJL022W	1.003029	0.010859
YJL024C	0.961597	0.007839
YJL025W_damp	0.994314	0.007202
YJL026W_damp	0.973455	0.007878
YJL027C	1.044508	0.005234
YJL028W	1.044311	0.008363
YJL030W	1.045736	0.016932
YJL033W_damp	0.949462	0.01005
YJL034W_damp	0.985362	0.008425
YJL035C_damp	0.997789	0.008691
YJL036W	0.897079	0.008728
YJL037W	1.048369	0.006399
YJL038C	1.018369	0.008569
YJL039C_damp	0.977974	0.015563
YJL042W	0.985999	0.015229
YJL043W	1.004618	0.00497
YJL044C	0.999699	0.006435
YJL045W	1.024639	0.010091
YJL046W	0.815948	0.012013
YJL047C	0.971077	0.007145
YJL047C-A	0.965049	0.014068
YJL048C	0.998044	0.006201
YJL049W	1.004864	0.008555
YJL050W_damp	0.976051	0.007033
YJL050W_tsq431	0.775221	0.015056
YJL051W	1.064327	0.008368
YJL052C-A	1.01999	0.00629
YJL052W	1.046408	0.01575
YJL052W_damp	0.980333	0.011757
YJL053W	0.875493	0.011813
YJL054W_damp	0.845877	0.010367
YJL055W	1.069411	0.007217
YJL056C	0.375923	0.026519
YJL056C_damp	0.946513	0.015986
YJL057C	1.038704	0.00717
YJL058C	1.068613	0.007718
YJL059W	1.01641	0.006709
YJL060W	1.016304	0.005254
YJL061W_damp	1.013679	0.007685
YJL062W	1.096584	0.009395
YJL062W-A	0.69015	0.034801
YJL063C	0.637357	0.036126
YJL063C_damp	0.716095	0.018213
YJL064W	0.985246	0.009926
YJL065C	0.988127	0.009442
YJL066C	1.045528	0.008267
YJL067W	1.059791	0.009635
YJL068C	0.99612	0.005671
YJL069C_damp	0.948481	0.007822
YJL070C	1.055898	0.014897
YJL072C_damp	0.961006	0.007311
YJL073W	1.021064	0.010023
YJL074C_damp	0.974064	0.01103
YJL074C_tsq259	0.891147	0.005916
YJL076W_damp	0.927886	0.023781
YJL077C	1.023507	0.006391
YJL078C	0.955614	0.008215
YJL079C	1.014647	0.009362
YJL081C_damp	0.660524	0.016777
YJL082W	1.034778	0.01003
YJL083W	1.036446	0.006848
YJL084C	1.029207	0.01078
YJL085W_damp	0.964383	0.008303
YJL087C_damp	1.021008	0.004762
YJL089W	1.021935	0.006573
YJL091C_damp	0.997619	0.009257
YJL091C_tsq655	0.775967	0.012094
YJL092W	1.009276	0.007689
YJL093C	0.985423	0.008207
YJL094C	1.017798	0.008366
YJL095W	0.984805	0.01382
YJL096W	0.538337	0.043441
YJL096W_damp	0.886416	0.0128
YJL097W_damp	1.016262	0.010562
YJL098W	1.031209	0.006457
YJL099W	1.024602	0.006346
YJL100W	1.03537	0.00852
YJL101C	0.7879	0.015168
YJL101C_damp	1.005262	0.008238
YJL102W	0.437931	0.071488
YJL103C	1.020284	0.006249
YJL104W_damp	0.749029	0.01737
YJL105W	1.026583	0.011142
YJL106W	1.013974	0.008992
YJL107C	0.997167	0.01353
YJL108C	1.04331	0.007429
YJL109C_damp	0.964542	0.014034
YJL110C	1.019948	0.008281
YJL111W_damp	0.752419	0.012468
YJL112W	1.004352	0.014962
YJL115W	0.735046	0.02082
YJL116C	1.015782	0.007169
YJL117W	0.966619	0.010742
YJL118W	1.004166	0.008525
YJL119C	0.988622	0.011738
YJL120W	0.886851	0.012331
YJL121C	0.891801	0.008571
YJL122W	0.98953	0.005169
YJL123C	1.012631	0.009202
YJL124C	0.95388	0.010151
YJL125C_damp	0.966573	0.009887
YJL126W	1.026686	0.00873
YJL127C-B	1.031746	0.005338
YJL128C	0.978304	0.008202
YJL129C_damp	0.943156	0.009569
YJL130C	1.023879	0.006704
YJL131C	0.781164	0.028121
YJL132W	1.039548	0.010852
YJL133C-A	0.823684	0.020597
YJL133W	1.042406	0.011425
YJL134W	1.011042	0.006164
YJL135W	0.998731	0.014173
YJL136C	0.847712	0.010521
YJL136W-A	1.032494	0.008707
YJL137C	1.018829	0.005374
YJL138C	0.869996	0.012954
YJL139C	0.987915	0.010915
YJL140W_damp	0.736187	0.011326
YJL141C	1.020152	0.010901
YJL142C	1.028097	0.008984
YJL143W_damp	0.539649	0.045103
YJL144W	1.064678	0.009219
YJL145W	0.980883	0.008688
YJL146W	1.013175	0.009526
YJL147C	0.910454	0.015365
YJL148W	0.798393	0.014592
YJL149W	0.98056	0.00838
YJL150W	0.993136	0.010684
YJL151C	0.972848	0.01647
YJL152W	0.98494	0.013026
YJL153C	1.004395	0.009087
YJL154C	0.807775	0.013097
YJL155C	1.065744	0.007681
YJL158C	0.999791	0.005692
YJL159W	1.079977	0.008476
YJL160C	1.035877	0.010169
YJL161W	1.068675	0.015788
YJL162C	1.037066	0.013777
YJL163C	1.008123	0.008661
YJL164C	0.9313	0.008075
YJL165C	0.916628	0.008118
YJL166W	0.744768	0.047645
YJL166W_damp	0.711306	0.019662
YJL167W_damp	0.93414	0.004309
YJL168C	0.924147	0.011358
YJL169W	1.013521	0.01372
YJL170C	1.036137	0.00699
YJL171C	1.021663	0.00805
YJL172W	1.014626	0.008105
YJL174W_damp	1.002711	0.008894
YJL177W	0.876538	0.010894
YJL178C	1.020862	0.00762
YJL179W_damp	0.76401	0.010728
YJL180C	0.688607	0.036405
YJL180C_damp	0.929302	0.009486
YJL181W	1.042061	0.010076
YJL182C	0.977629	0.014696
YJL183W	0.979344	0.011913
YJL185C	0.992292	0.006778
YJL186W	1.016731	0.008897
YJL187C	1.031469	0.007372
YJL188C	1.050924	0.011536
YJL189W_damp	0.42601	0.012061
YJL190C	0.715305	0.017658
YJL191W	1.044596	0.006834
YJL192C	1.021389	0.007937
YJL193W	1.008871	0.008273
YJL196C	0.996778	0.006648
YJL197W	0.993986	0.007796
YJL198W	1.019851	0.008418
YJL199C	1.011716	0.013597
YJL200C	0.237223	0.017672
YJL200C_damp	1.023757	0.016609
YJL201W	1.024521	0.010816
YJL203W_damp	1.008929	0.007087
YJL203W_tsq401	0.911171	0.005888
YJL204C_damp	1.002064	0.009799
YJL205C	1.037339	0.012669
YJL206C	0.966044	0.011802
YJL206C-A	0.982513	0.015308
YJL208C	1.00949	0.014595
YJL209W	0.772528	0.036505
YJL209W_damp	0.933357	0.013338
YJL210W	0.871401	0.008408
YJL211C	0.857999	0.010862
YJL212C	1.020389	0.011857
YJL213W	1.000106	0.010944
YJL214W	1.036312	0.007776
YJL215C	1.016505	0.012763
YJL216C	1.014036	0.008261
YJL217W	1.005808	0.013073
YJL218W	1.016971	0.007456
YJL219W	0.948326	0.02226
YJL221C	1.006547	0.014843
YJL222W	0.984664	0.007291
YJL223C	1.047604	0.008189
YJL225C	1.028662	0.008355
YJR001W	1.007187	0.007871
YJR002W_damp	0.853188	0.006256
YJR003C	1.021242	0.006908
YJR004C	1.03661	0.009069
YJR004C_damp	1.04013	0.011645
YJR005C-A	1.051676	0.007487
YJR005W	0.978249	0.010026
YJR006W_damp	0.962711	0.007146
YJR007W_damp	0.809343	0.014186
YJR008W	1.040173	0.007219
YJR009C	1.044846	0.007231
YJR010C-A	1.039954	0.005881
YJR010W	1.046875	0.007963
YJR011C	1.001068	0.013713
YJR012C_damp	0.944594	0.01543
YJR014W	0.963338	0.007405
YJR015W	1.034243	0.006387
YJR016C_damp	0.994982	0.008343
YJR019C	1.035939	0.009026
YJR020W	0.964418	0.014752
YJR021C	1.017174	0.010649
YJR022W_damp	0.563108	0.015956
YJR024C	1.083892	0.013136
YJR025C	0.968287	0.006571
YJR030C	0.965711	0.008849
YJR031C	0.989729	0.006299
YJR032W	0.65445	0.020822
YJR033C	0.950808	0.010966
YJR034W	0.750648	0.050081
YJR035W	0.997484	0.007999
YJR036C	1.053669	0.012179
YJR037W	1.066222	0.012119
YJR038C	1.040069	0.008723
YJR039W	1.00705	0.008701
YJR040W	0.966751	0.005803
YJR043C	0.912153	0.008295
YJR044C	0.938221	0.010247
YJR045C_tsq328	0.683037	0.013899
YJR047C	1.046306	0.009264
YJR048W	0.999823	0.00832
YJR049C	0.751761	0.017991
YJR050W	0.998101	0.010076
YJR051W	1.049171	0.008067
YJR052W	1.027819	0.006995
YJR053W	0.979758	0.017794
YJR054W	0.840597	0.114083
YJR055W_damp	1.003984	0.004473
YJR056C	0.995223	0.014611
YJR056C_damp	1.082743	0.013343
YJR057W_damp	1.034485	0.01604
YJR057W_tsq22	0.512275	0.015679
YJR057W_tsq407	0.758424	0.012305
YJR058C	0.991758	0.007667
YJR059W	0.88587	0.020408
YJR060W	0.970981	0.012281
YJR061W	1.013495	0.006695
YJR062C	0.991914	0.009045
YJR066W	0.996394	0.009388
YJR067C_damp	1.005189	0.01068
YJR068W_damp	0.971561	0.012558
YJR069C	0.979691	0.008788
YJR070C	0.925975	0.013704
YJR072C_damp	1.050743	0.004909
YJR073C	0.733887	0.020773
YJR074W	0.863442	0.012294
YJR075W	0.992418	0.013203
YJR076C_damp	1.00485	0.014629
YJR076C_tsq126	0.826926	0.021171
YJR076C_tsq356	0.910218	0.01038
YJR077C	1.017584	0.011497
YJR078W	1.003567	0.006018
YJR079W	0.986015	0.007198
YJR080C	1.011431	0.007214
YJR082C	0.937796	0.007775
YJR083C	0.99782	0.007208
YJR084W	0.808525	0.058805
YJR085C	0.999249	0.01019
YJR087W	0.888599	0.025036
YJR088C	0.991968	0.008046
YJR090C	0.204287	0.087303
YJR090C_damp	0.998952	0.007595
YJR091C	1.010474	0.008782
YJR092W	1.002261	0.011242
YJR093C_damp	0.960569	0.010415
YJR094C	1.032475	0.02286
YJR094W-A	0.939466	0.008904
YJR095W	1.004466	0.006515
YJR096W	1.0124	0.005923
YJR097W	0.999218	0.009644
YJR098C	1.047288	0.011339
YJR099W	1.048131	0.01502
YJR100C	1.05356	0.015351
YJR102C	0.294554	0.033352
YJR102C_damp	0.867365	0.006149
YJR103W	1.001116	0.007263
YJR104C	0.075982	0.013166
YJR104C_damp	0.708605	0.011506
YJR105W	0.46667	0.019572
YJR105W_damp	1.054114	0.011679
YJR106W	1.025565	0.008372
YJR107W	1.006023	0.007334
YJR108W	0.990049	0.007734
YJR110W	1.04224	0.005214
YJR111C	1.064011	0.008939
YJR112W_damp	1.002348	0.011419
YJR112W_tsq438	0.985495	0.005896
YJR112W_tsq440	1.001135	0.008977
YJR112W-A	0.994867	0.005396
YJR113C	0.592651	0.052305
YJR115W	1.030045	0.006553
YJR116W	1.045883	0.006869
YJR117W	1.011408	0.012047
YJR118C	0.593066	0.015699
YJR119C	1.016626	0.019132
YJR120W	0.940694	0.014019
YJR121W	0.550747	0.026505
YJR122W	1.021267	0.015769
YJR122W_damp	0.936963	0.010781
YJR124C	1.016707	0.013534
YJR125C	0.987568	0.008004
YJR126C	0.955155	0.007839
YJR127C	1.020819	0.008128
YJR128W	0.999989	0.01068
YJR129C	1.030842	0.005823
YJR130C	1.016332	0.010743
YJR131W	0.990611	0.009254
YJR132W	0.572226	0.025639
YJR133W	1.007107	0.011301
YJR134C	0.983766	0.009587
YJR135C	1.064864	0.007964
YJR135W-A	1.004623	0.008917
YJR137C	0.991924	0.007873
YJR138W	0.887475	0.014863
YJR139C	0.732256	0.012112
YJR140C	1.015113	0.007386
YJR141W_damp	0.982214	0.006815
YJR142W	1.021771	0.005113
YJR143C	1.006155	0.009093
YJR144W	0.513315	0.045398
YJR144W_damp	0.974644	0.007805
YJR145C	0.636036	0.021763
YJR146W	0.996953	0.009637
YJR147W	1.06903	0.014705
YJR149W	1.001191	0.008368
YJR150C	1.010198	0.009442
YJR151C	0.979903	0.008004
YJR151W-A	1.02432	0.005969
YJR152W	1.039877	0.005149
YJR153W	1.050255	0.006079
YJR154W	1.023895	0.005835
YJR155W	1.114389	0.008379
YJR158W	1.036811	0.00857
YJR159W	1.048803	0.007954
YJR160C	0.980437	0.007616
YKL001C	1.035763	0.005806
YKL002W	0.547322	0.033794
YKL002W_damp	0.892402	0.007625
YKL003C	0.477491	0.085754
YKL004W_damp	0.953781	0.01158
YKL005C	1.006417	0.008479
YKL006W	0.602804	0.040956
YKL007W	1.001787	0.008213
YKL008C	1.037969	0.005834
YKL009W	0.699993	0.036159
YKL010C	0.991175	0.006349
